Model,Training Period,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
RF,14,15,0.5259433962264151,0.6947040498442367,0.9845470050131789,0.5986577181208054,0.9758914064664175,0.5968890661640573,0.013732528662627936
RF,14,16,0.40938511326860844,0.6052631578947368,0.9783893985728848,0.4884169884169884,0.9680637838123216,0.48735451415990744,0.018025901741592455
RF,14,17,0.598343685300207,0.6033402922755741,0.9835299163628566,0.6008316008316008,0.9633777436717691,0.5924285749486717,0.016579802911775014
RF,14,18,0.4945054945054945,0.5806451612903226,0.9928176037330162,0.5341246290801188,0.9768147762267696,0.5322665623418193,0.008170900022858293
RF,14,19,0.7285223367697594,0.5784447476125512,0.981665423422716,0.6448669201520912,0.977766832695875,0.6400427533877783,0.016662411990295816
RF,14,20,0.5134228187919463,0.7574257425742574,0.9909599254426841,0.612,0.9785218890220944,0.6193864857976084,0.011740596224530052
RF,14,21,0.4057971014492754,0.5957446808510638,0.9901531728665208,0.48275862068965514,0.9601706522406367,0.4869725336913072,0.013057901655096849
RF,14,22,0.40970350404312667,0.5650557620817844,0.9839180586799406,0.475,0.9418969237846115,0.47327988821510614,0.017617889619616557
RF,14,23,0.3292307692307692,0.4196078431372549,0.9848928881000537,0.36896551724137927,0.9365306092401919,0.36415920338366126,0.016466332046462348
RF,14,24,0.24155844155844156,0.32978723404255317,0.9803601322934956,0.27886056971514245,0.9066487787057683,0.272503605353287,0.018522726751799876
RF,14,25,0.3953488372093023,0.38345864661654133,0.9840143870516536,0.3893129770992367,0.9164056290483193,0.38126170673049287,0.015063055876345044
RF,14,26,0.37532133676092544,0.40896358543417366,0.9825866830316048,0.3914209115281501,0.9489187936500674,0.3829671591775549,0.01647004883043224
RF,14,27,0.5555555555555556,0.6712962962962963,0.9912428584808467,0.6079664570230608,0.9664097789482166,0.6063435465582777,0.009509360589872475
RF,14,28,0.37037037037037035,0.5035971223021583,0.9909654476428469,0.4268292682926829,0.9514240566907868,0.42745675246857484,0.01128857463275095
RF,15,16,0.3179255918827508,0.6746411483253588,0.9697859327217125,0.432183908045977,0.9720696484155666,0.45029963655865435,0.024888282721913593
RF,15,17,0.3932853717026379,0.6847599164926931,0.9718207162770749,0.4996191926884995,0.9686737437244274,0.5061038324092448,0.02342818790105898
RF,15,18,0.2934306569343066,0.6483870967741936,0.9864357930371929,0.4040201005025126,0.9787992476487165,0.4305471069932184,0.012184086366626051
RF,15,19,0.561487130600572,0.8035470668485676,0.9762867574889089,0.6610549943883277,0.9792516155944586,0.6603879334190377,0.021397079166125193
RF,15,20,0.28295254833040423,0.7970297029702971,0.9790773532152842,0.4176394293125811,0.9794083345675804,0.4675086988886038,0.018385430184393523
RF,15,21,0.2085201793721973,0.6595744680851063,0.9780634573304158,0.3168654173764906,0.9618550445163608,0.36297899704535247,0.019865917687304942
RF,15,22,0.26858877086494687,0.6579925650557621,0.9725266835782319,0.3814655172413793,0.9401557106024382,0.409349205594266,0.024823666419539737
RF,15,23,0.1986863711001642,0.4745098039215686,0.9743261650224956,0.2800925925925926,0.9384067359631989,0.2960696835516382,0.0235390775884553
RF,15,24,0.16843702579666162,0.39361702127659576,0.9706422767547263,0.2359192348565356,0.9200279832627747,0.24459156394204146,0.024698762475459338
RF,15,25,0.2691511387163561,0.48872180451127817,0.975571985213308,0.3471295060080107,0.9396857499154935,0.3513571855798732,0.02080065036626861
RF,15,26,0.2932098765432099,0.5322128851540616,0.9760279226756674,0.3781094527363184,0.9591444899951036,0.3839907872965264,0.021843796279524524
RF,15,27,0.4470588235294118,0.7037037037037037,0.9881989322843495,0.5467625899280576,0.974498380133374,0.555432023728346,0.013278544071264985
RF,15,28,0.2751677852348993,0.5899280575539568,0.9868806766303042,0.37528604118993136,0.9632562745159461,0.39729503631905533,0.01559246776191545
RF,16,17,0.6687370600414079,0.6743215031315241,0.9864464936736007,0.6715176715176716,0.977352766078978,0.6646042774573193,0.01389938986549388
RF,16,18,0.5498489425981873,0.5870967741935483,0.9936639370511002,0.5678627145085804,0.9823169952320369,0.564982509780847,0.0071166855026790635
