Model,Training Period,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
NN,14,15,0.3353658536585366,0.3426791277258567,0.9778283115406481,0.3389830508474576,0.8586644243570877,0.3277291693228567,0.02063504062903293
NN,14,16,0.3235294117647059,0.39473684210526316,0.9756167176350663,0.35560344827586204,0.8729150222006632,0.3450667617465091,0.020766381172524266
NN,14,17,0.5172413793103449,0.4384133611691023,0.9800557580956466,0.47457627118644075,0.8846265977135322,0.4661319171495702,0.019899014795780347
NN,14,18,0.3170731707317073,0.33548387096774196,0.9901642344114553,0.3260188087774295,0.9235072619288254,0.32119849495212577,0.010154271937514583
NN,14,19,0.7,0.6493860845839018,0.9819009854344156,0.6737438075017693,0.9260654662224368,0.6649445714882946,0.0194884186867084
NN,14,20,0.4070175438596491,0.5742574257425742,0.9881174277726001,0.4763860369609856,0.8985346460132889,0.4776997815001292,0.012900993016390123
NN,14,21,0.16981132075471697,0.19148936170212766,0.9865426695842451,0.18,0.8081706710082386,0.17355815723187032,0.01462806360307744
NN,14,22,0.25,0.30111524163568776,0.9793710812233762,0.2731871838111299,0.8045967667509755,0.2639862118776269,0.020316805069124106
NN,14,23,0.1624548736462094,0.17647058823529413,0.9817558921864036,0.16917293233082709,0.8222031095101148,0.1601055694722328,0.018251864662839595
NN,14,24,0.13580246913580246,0.11702127659574468,0.9812584214609449,0.12571428571428572,0.8116484286220262,0.11662402791085713,0.018818141155084536
NN,14,25,0.1821561338289963,0.18421052631578946,0.9781696473174143,0.18317757009345795,0.8252492561902935,0.17211769143825517,0.021544934855158415
NN,14,26,0.23130841121495327,0.2773109243697479,0.9774854249769868,0.2522292993630573,0.8524007230735964,0.24191674027622254,0.021140688598211783
NN,14,27,0.38489208633093525,0.49537037037037035,0.9868877025381662,0.43319838056680166,0.887703775542029,0.43015157432919826,0.015289777310122607
NN,14,28,0.15897435897435896,0.22302158273381295,0.9869287327598635,0.18562874251497005,0.8021492240170128,0.18184196821258095,0.016835776958926435
NN,15,16,0.24691358024691357,0.430622009569378,0.9679102956167176,0.3138622493461203,0.882334351455026,0.31084428986018287,0.024939937935584817
NN,15,17,0.4312267657992565,0.48434237995824636,0.9762813639288012,0.456243854473943,0.8955180919699364,0.44494491339855835,0.021331488558710622
NN,15,18,0.2320675105485232,0.3548387096774194,0.9870991353675831,0.2806122448979592,0.8994887221621107,0.28071017834438183,0.013035586565463346
NN,15,19,0.47085201793721976,0.4297407912687585,0.9696910211613207,0.44935805991440797,0.8502502681030348,0.434286755898071,0.02741014402912382
NN,15,20,0.3324538258575198,0.6237623762376238,0.9846691519105312,0.43373493975903615,0.9161727349703641,0.44856401560516235,0.016371413033631505
NN,15,21,0.16352201257861634,0.36879432624113473,0.9805798687089715,0.22657952069716775,0.8427882948030555,0.23696695292569733,0.019606742441378278
NN,15,22,0.25217391304347825,0.4312267657992565,0.9762121284640789,0.31824417009602196,0.831259409040177,0.3184868903773628,0.02315602945477641
NN,15,23,0.18403547671840353,0.3254901960784314,0.9777108185082759,0.23512747875354106,0.8449602968168746,0.2341644022226451,0.02142767967901594
NN,15,24,0.1237721021611002,0.22340425531914893,0.9728471683475562,0.1592920353982301,0.8225215316149055,0.15329420871155444,0.024189358074595182
NN,15,25,0.15829145728643215,0.23684210526315788,0.9731241882305924,0.1897590361445783,0.8390127810413031,0.18036181529225412,0.024075752188315102
NN,15,26,0.21920289855072464,0.3389355742296919,0.9744169990794722,0.2662266226622662,0.8785788630054394,0.26008136723694486,0.022702540086202167
NN,15,27,0.2603036876355748,0.5555555555555556,0.9795354500327808,0.35450516986706054,0.8891493028178146,0.37139649162840915,0.018741662143931453
NN,15,28,0.10632183908045977,0.26618705035971224,0.9801528184919986,0.15195071868583163,0.8060162610115101,0.15952999944200413,0.02033342914785411
NN,16,17,0.3873239436619718,0.4592901878914405,0.973965258417328,0.4202483285577841,0.8934848960236026,0.40857753538008057,0.022369384654336372
NN,16,18,0.2837301587301587,0.4612903225806452,0.9879225948122055,0.35135135135135137,0.9352641998501837,0.35605033279849835,0.011151250003432043
NN,16,19,0.5666666666666667,0.626193724420191,0.9754622904479604,0.5949449125081011,0.9357112470477783,0.5830978206499882,0.021696484975276084
NN,16,20,0.31645569620253167,0.6188118811881188,0.9838303821062442,0.4187604690117253,0.9289702467283137,0.4354212448318846,0.0149867492403406
NN,16,21,0.1572700296735905,0.375886524822695,0.9796498905908096,0.2217573221757322,0.847435622237888,0.23427891677826687,0.018340452461770913
NN,16,22,0.2157258064516129,0.39776951672862454,0.9736275307519264,0.2797385620915033,0.8605737964359566,0.2805901196043811,0.023142490042488834
NN,16,23,0.17849898580121704,0.34509803921568627,0.9763899781235811,0.23529411764705882,0.8531803443887149,0.23722271798515238,0.021889754421489417
NN,16,24,0.1422680412371134,0.24468085106382978,0.9743170960761096,0.1799217731421121,0.8462043305505338,0.174204025646485,0.02286354262686264
NN,16,25,0.14893617021276595,0.2631578947368421,0.9702267958837046,0.1902173913043478,0.8742689424046142,0.1836901637318994,0.025123361386333334
NN,16,26,0.18478260869565216,0.3333333333333333,0.9707348880024548,0.23776223776223776,0.8770363132614507,0.23429219422796332,0.02699037186283189
NN,16,27,0.20473773265651438,0.5601851851851852,0.973541256907371,0.29987608426270135,0.8857783770145393,0.32814230338799943,0.02141771330626608
NN,16,28,0.06715063520871144,0.26618705035971224,0.9703974241914556,0.1072463768115942,0.8121103117505994,0.12243259098897923,0.02552649630297448
NN,17,18,0.3137755102040816,0.3967741935483871,0.9895695137014502,0.3504273504273504,0.9227625649501207,0.3476604343807746,0.010859636172780046
NN,17,19,0.5154639175257731,0.4092769440654843,0.9719288602724667,0.45627376425855515,0.930321115908638,0.44516234326623383,0.023314837119932777
NN,17,20,0.43521594684385384,0.6485148514851485,0.9887698042870456,0.5208747514910538,0.9188843524487927,0.5259413471244492,0.012773291387233352
NN,17,21,0.24056603773584906,0.3617021276595745,0.9862691466083151,0.28895184135977336,0.8651045374978641,0.28830628717415696,0.014449987467854057
NN,17,22,0.27595628415300544,0.3754646840148699,0.9792753553821855,0.3181102362204724,0.8658169029621533,0.31160596412877384,0.01993429322916746
NN,17,23,0.1815856777493606,0.2784313725490196,0.9791967639410575,0.21981424148606807,0.8316431261308128,0.2146832488288165,0.020030579068551442
NN,17,24,0.13821138211382114,0.18085106382978725,0.9775836021395615,0.1566820276497696,0.8155093103233104,0.14688120256011494,0.020202050033479857
NN,17,25,0.18384401114206128,0.24812030075187969,0.9753721650514537,0.2112,0.8737474381579708,0.20128331100756883,0.02231752987435785
NN,17,26,0.18100358422939067,0.28291316526610644,0.9726526541884013,0.22076502732240436,0.8693246538358684,0.21291124649880303,0.024169264695894165
NN,17,27,0.23122529644268774,0.5416666666666666,0.9771471387093753,0.32409972299168976,0.8867343961901157,0.34424849281375486,0.02028734108413675
NN,17,28,0.0757314974182444,0.31654676258992803,0.9696285261185064,0.12222222222222222,0.7913862233870378,0.14366782323304797,0.026794075011677736
NN,18,19,0.6242274412855378,0.6889495225102319,0.9791135016293039,0.6549935149156939,0.9380025449797091,0.6450848599816986,0.021171202774675213
NN,18,20,0.34933333333333333,0.6485148514851485,0.9853215284249767,0.4540727902946274,0.921961586505814,0.4694604212356866,0.01585800845835666
NN,18,21,0.16065573770491803,0.3475177304964539,0.9809628008752735,0.2197309417040359,0.870783301056968,0.22772111769559442,0.01789892654746278
NN,18,22,0.2611607142857143,0.4349442379182156,0.9768822093524147,0.3263598326359833,0.8698961364534336,0.32601319362147047,0.02241342604555875
NN,18,23,0.1544502617801047,0.23137254901960785,0.9785776200107318,0.18524332810047095,0.8336271401602523,0.17850324372486895,0.020699442807077077
NN,18,24,0.11678832116788321,0.1702127659574468,0.9756236985014903,0.13852813852813853,0.8180045724745121,0.12891601382759893,0.02241407206631231
NN,18,25,0.18181818181818182,0.2781954887218045,0.973773603756619,0.2199108469539376,0.8561078425102855,0.21203094413383858,0.023502444414315274
NN,18,26,0.19039735099337748,0.32212885154061627,0.9719622583614606,0.23933402705515092,0.8731343519324899,0.2341615770359168,0.024732675073561815
NN,18,27,0.29009433962264153,0.5694444444444444,0.9815491242858481,0.384375,0.8957518581596073,0.39823956361798923,0.018881592963611873
NN,18,28,0.12462908011869436,0.302158273381295,0.9811619972127444,0.17647058823529413,0.8332005513151164,0.18578201671523498,0.020868414409957146
NN,19,20,0.436241610738255,0.6435643564356436,0.9888164026095061,0.52,0.9260117798401347,0.5245371747871344,0.012402561818546938
NN,19,21,0.24347826086956523,0.3971631205673759,0.9858315098468271,0.3018867924528302,0.8696423872546089,0.3042036722874409,0.014195213246125746
NN,19,22,0.27889447236180903,0.41263940520446096,0.9787010003350405,0.33283358320839573,0.8683964580190979,0.3288281670021893,0.019820108138903295
NN,19,23,0.20048899755501223,0.3215686274509804,0.9793618689891443,0.24698795180722893,0.870657433672618,0.2439252180031195,0.019434923640459196
NN,19,24,0.14871794871794872,0.20567375886524822,0.9772977828590095,0.17261904761904762,0.8544156252773937,0.16359632677598548,0.020393011663941026
NN,19,25,0.20304568527918782,0.3007518796992481,0.9750224797682087,0.24242424242424246,0.8792110516266363,0.23481614408091342,0.022024974354108096
NN,19,26,0.18388791593695272,0.29411764705882354,0.9724608775698067,0.22629310344827588,0.8663453248303016,0.219145919036209,0.024286334975267724
NN,19,27,0.3123359580052493,0.5509259259259259,0.9831881614685773,0.3986599664991625,0.8743096512161702,0.407077327484825,0.01763344530106863
NN,19,28,0.13105413105413105,0.33093525179856115,0.9808736604353885,0.18775510204081633,0.8111462064020771,0.19999829521530205,0.021467448923214828
NN,20,21,0.23504273504273504,0.3900709219858156,0.9855032822757112,0.29333333333333333,0.8562212059044441,0.2958918464272204,0.015241381421938142
NN,20,22,0.2830188679245283,0.44609665427509293,0.9783180969702772,0.3463203463203463,0.8432442190280353,0.3448797868066969,0.020941398052816303
