Scenario,Model,K,Retrain,Training Time,Testing Time,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
Static Model,RF,15,False,8.928108249005163,0.13710341698606499,0.496551724137931,0.6728971962616822,0.9832549485761538,0.5714285714285714,0.9753702037397582,0.5698610496705067,0.013959019583077405
Sliding Window,RF,15,False,6.503213612973923,0.13834832698921673,0.49321266968325794,0.6791277258566978,0.9830999018037108,0.5714285714285715,0.9767416046004019,0.5705371788197465,0.01403927322511316
Z-test,RF,15,False,6.741944093984785,0.13872874499065802,0.5,0.6697819314641744,0.9834099953485969,0.5725699067909454,0.9716871578660599,0.570571667247298,0.014554416581868459
Gama,RF,15,False,6.511029861023417,0.1388108950050082,0.49327354260089684,0.6853582554517134,0.9830999018037108,0.5736636245110821,0.9730091152765854,0.573246818712601,0.014006106597975807
Harel,RF,15,False,6.577373935986543,0.1385189130087383,0.5087719298245614,0.7227414330218068,0.9838234534084449,0.5971685971685973,0.9755210717506322,0.5986418257954339,0.01410636917459874
Static Model,RF,16,False,2.1621992345899343e-05,0.16443046898348257,0.4075286415711948,0.5956937799043063,0.978348623853211,0.48396501457725954,0.9712520713573041,0.4822230069715799,0.017865191080375997
Sliding Window,RF,16,True,10.354449212987674,0.2539376229979098,0.3337222870478413,0.6842105263157895,0.971335372069317,0.44862745098039214,0.972685473436511,0.4655619068117652,0.023975933048406704
Z-test,RF,16,True,10.748070658999495,0.2568823569745291,0.34192037470725994,0.6985645933014354,0.9719469928644241,0.45911949685534587,0.9730037811884534,0.47674733886369525,0.02377847709626914
Gama,RF,16,False,0.14134047500556335,0.1653000109945424,0.4084967320261438,0.5980861244019139,0.9783893985728848,0.4854368932038835,0.9729153596118423,0.4838240853624426,0.017127697814573604
Harel,RF,16,True,23.018877422990045,0.28176774899475276,0.32062780269058294,0.6842105263157895,0.9699082568807339,0.43664122137404576,0.9740490115539511,0.4556707238495609,0.024312235777025334
Static Model,RF,17,False,1.689998316578567e-05,0.25848138399305753,0.6340425531914894,0.6221294363256785,0.9848595324898134,0.6280295047418335,0.9652712031071329,0.6203317805799691,0.01582084263550703
Sliding Window,RF,17,True,10.88922173102037,0.2490169410011731,0.6483516483516484,0.615866388308977,0.985245550075059,0.6316916488222698,0.9769729131492559,0.6243833877171385,0.014980043638185763
Z-test,RF,17,True,13.278642571007367,0.2725005349784624,0.6293103448275862,0.6096033402922756,0.9846021874329831,0.6193001060445387,0.9774442324703586,0.6115249160374945,0.014913130621531255
Gama,RF,17,True,13.66405902299448,0.24936080499901436,0.6818181818181818,0.6576200417536534,0.986660947887626,0.6695005313496281,0.9787432289272586,0.6628085804602342,0.014010946984128478
Harel,RF,17,True,20.664441016007913,0.25494070700369775,0.6513157894736842,0.6200417536534447,0.9853742226034742,0.6352941176470589,0.9786406549231317,0.6280340982746667,0.014239854168526288
Static Model,RF,18,False,2.191998646594584e-05,0.307630910014268,0.4757834757834758,0.5387096774193548,0.9925202433780136,0.5052950075642965,0.9783330038761995,0.502523634757469,0.008033241274912947
Sliding Window,RF,18,True,10.43425071099773,0.35057198800495826,0.32277526395173456,0.6903225806451613,0.9875337389633561,0.4398766700924974,0.9783040215569004,0.46686636697476075,0.011066579522150637
