Scenario,Model,K,Retrain,Training Time,Testing Time,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
Static Model,CART,15,False,0.7256512399762869,0.01662787699024193,0.09863588667366212,0.8785046728971962,0.8647992144296863,0.17735849056603772,0.915688521326499,0.2674625464381246,0.09140471841562842
Sliding Window,CART,15,False,0.7077874290116597,0.018497304001357406,0.10269865067466268,0.8535825545171339,0.8738436094888625,0.1833389093342255,0.9098129367641193,0.26961128660298733,0.08000773612374659
Z-test,CART,15,False,0.6807935539982282,0.017283741995925084,0.09363702096890818,0.8068535825545171,0.8672282805312936,0.16780045351473924,0.8960424447461259,0.24635410293149046,0.09547788995366023
Gama,CART,15,False,0.7009145449846983,0.014346180978463963,0.10117025292563231,0.8348909657320872,0.8742053852912295,0.18047138047138045,0.888045949009723,0.26373097251006755,0.0795859653501026
Harel,CART,15,False,0.5970956340024713,0.014446788001805544,0.09690644800596347,0.8099688473520249,0.8716212724171791,0.17310252996005326,0.8912741806303482,0.2522949473162857,0.0893186651784264
Static Model,CART,16,False,1.3887998647987843e-05,0.017935723008122295,0.09662921348314607,0.8229665071770335,0.8658511722731906,0.17295123177476118,0.9030576002562736,0.2533728956223963,0.0912897918213981
Sliding Window,CART,16,True,0.7260513649962377,0.012328484008321539,0.30970724191063176,0.48086124401913877,0.9728848114169215,0.3767572633552015,0.8931696167981544,0.37278573188328223,0.024292172438585256
Z-test,CART,16,True,0.9084875389817171,0.023832284001400694,0.2694684796044499,0.5215311004784688,0.9677471967380225,0.3553382233088834,0.8788717188499519,0.3601924359740857,0.026914159338013107
Gama,CART,16,False,0.02505842800019309,0.02139193200855516,0.10197465369879163,0.8277511961722488,0.8728236493374109,0.1815796378903175,0.8716056187297343,0.26292763904579247,0.08218444153083142
Harel,CART,16,True,2.2524936020199675,0.023573187994770706,0.30077519379844964,0.46411483253588515,0.9724770642201835,0.36500470366886173,0.8754155863720022,0.36026272407879056,0.02540087755638802
Static Model,CART,17,False,1.4422985259443521e-05,0.021629219001624733,0.09603501544799176,0.778705636743215,0.8448638215740939,0.17098326839330735,0.8823461088249847,0.23792541853511184,0.10547482351933761
Sliding Window,CART,17,True,0.6814345029997639,0.01727503997972235,0.11362397820163488,0.8705636743215032,0.8578168561012224,0.2010122921185828,0.9244797066200641,0.2836074299753482,0.09199446428771407
