Model,Training Period,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
GBDT,14,15,0.4579831932773109,0.6791277258566978,0.9813427050493565,0.5470514429109159,0.9706371394311841,0.5488050139624869,0.014091418615986034
GBDT,14,16,0.3734265734265734,0.638755980861244,0.9755759429153924,0.471315092674316,0.9700224557063475,0.4771328054606594,0.017392202021215986
GBDT,14,17,0.44287729196050774,0.6555323590814196,0.9759811280291658,0.5286195286195287,0.9631713157739803,0.5272583734870264,0.019158153721525756
GBDT,14,18,0.30623818525519847,0.5225806451612903,0.9882199551672081,0.38617401668653156,0.9713349627837293,0.39456710672628037,0.009376499333600722
GBDT,14,19,0.5107238605898123,0.519781718963165,0.9718503396019001,0.5152129817444219,0.9648355695382012,0.5007389692611048,0.020607443106802216
GBDT,14,20,0.28044280442804426,0.7524752475247525,0.9794967381174278,0.4086021505376344,0.963397588700445,0.4518035819256849,0.015407544512939117
GBDT,14,21,0.21103117505995203,0.624113475177305,0.9791028446389497,0.3154121863799283,0.9486453896799303,0.35508003399278437,0.016545298717216193
GBDT,14,22,0.2739495798319328,0.6059479553903345,0.9742497487196669,0.3773148148148148,0.9326294698348335,0.39649202078355067,0.019599702402683473
GBDT,14,23,0.200339558573854,0.4627450980392157,0.9749040326907995,0.2796208530805687,0.9309718364235399,0.2936014491279638,0.0192423016679105
GBDT,14,24,0.13777089783281735,0.31560283687943264,0.9693765056551387,0.19181034482758624,0.9053371365024847,0.19478914732379982,0.022234125452471137
GBDT,14,25,0.28342245989304815,0.39849624060150374,0.9786192426815866,0.33125,0.9288959412504529,0.3255180608998612,0.016390342187423478
GBDT,14,26,0.32696390658174096,0.43137254901960786,0.9800552316661553,0.3719806763285024,0.9547256584920571,0.3656362405390118,0.014303594274914462
GBDT,14,27,0.5168539325842697,0.6388888888888888,0.9903062658050014,0.5714285714285714,0.9702598094357011,0.5698397591666375,0.008309186564853004
GBDT,14,28,0.38636363636363635,0.4892086330935252,0.9913979528088808,0.43174603174603177,0.9643860528413264,0.4304976879270112,0.007916992832954176
GBDT,15,16,0.34864864864864864,0.6172248803827751,0.9738226299694189,0.44559585492227977,0.9689316252123954,0.45189173920889814,0.019190365113172757
GBDT,15,17,0.4320809248554913,0.6242171189979123,0.9754235470727,0.5106746370623398,0.9641036695895687,0.5073920406753061,0.018645945019380727
GBDT,15,18,0.33084112149532713,0.5709677419354838,0.9887689281302896,0.41893491124260357,0.9758732595745693,0.4294623633070317,0.00886365596386759
GBDT,15,19,0.6201456310679612,0.6971350613915416,0.9789957206234541,0.6563904945407835,0.9743459890760215,0.6467716372439585,0.01747610365342493
GBDT,15,20,0.3686746987951807,0.7574257425742574,0.9855079217148183,0.49594813614262556,0.9691657142005479,0.5224605483293,0.012546525142666333
GBDT,15,21,0.24581005586592178,0.624113475177305,0.9823304157549234,0.3527054108216433,0.9534107966104146,0.3846463645957443,0.013887260896012572
GBDT,15,22,0.30265486725663715,0.6356877323420075,0.976451443067056,0.41007194244604317,0.9412363082242942,0.42853187687439953,0.018178914065502552
GBDT,15,23,0.2037037037037037,0.4745098039215686,0.9749453089528213,0.28504122497055356,0.9360479382809357,0.30010238890323454,0.018726184425821135
GBDT,15,24,0.1953405017921147,0.38652482269503546,0.9746029153566617,0.25952380952380955,0.9029700430852017,0.2630989807558189,0.019605624667360468
GBDT,15,25,0.30434782608695654,0.39473684210526316,0.9799680287741033,0.34369885433715225,0.9342788547919006,0.3366129224613981,0.015555064249435624
GBDT,15,26,0.34791666666666665,0.4677871148459384,0.9807072721693771,0.3990442054958184,0.9549456959528901,0.39386997348491953,0.015324886680011774
GBDT,15,27,0.4965034965034965,0.6574074074074074,0.9897911398332865,0.5657370517928287,0.9709777546493414,0.5663369444362717,0.008296690008610684
GBDT,15,28,0.2981651376146789,0.4676258992805755,0.9890912585900331,0.3641456582633053,0.96063561342508,0.3681966305829596,0.00881361904432007
GBDT,16,17,0.5253968253968254,0.6910229645093946,0.9808277932661377,0.5969341749323714,0.9745113656019083,0.593092873975171,0.01559326629822294
GBDT,16,18,0.4126637554585153,0.6096774193548387,0.9910791893499246,0.49218750000000006,0.9757276419985018,0.49733945222618603,0.007571592813375191
GBDT,16,19,0.7201591511936339,0.7407912687585266,0.9842566055514114,0.7303295225285811,0.9820369312137449,0.7222992350532795,0.013530928872155791
GBDT,16,20,0.47005988023952094,0.7772277227722773,0.9896551724137931,0.585820895522388,0.9741230791157015,0.5998265602629985,0.01000108031055898
GBDT,16,21,0.3387096774193548,0.5957446808510638,0.987910284463895,0.4318766066838046,0.9521031248448251,0.44369755294977004,0.01105982233434479
GBDT,16,22,0.38687782805429866,0.6356877323420075,0.9823385823002919,0.48101265822784806,0.9436996922775213,0.4877157883891094,0.014517511155957627
GBDT,16,23,0.2526539278131635,0.4666666666666667,0.9798571841334048,0.3278236914600551,0.9404974921722403,0.3340773925137662,0.015884151142915606
GBDT,16,24,0.21106557377049182,0.36524822695035464,0.9769711322526643,0.2675324675324675,0.9082266456792196,0.2667011573510918,0.01815542200598261
GBDT,16,25,0.34195402298850575,0.4473684210526316,0.9812169047856929,0.38762214983713356,0.9440574400764975,0.38178294699095633,0.014501896613976432
GBDT,16,26,0.3617021276595745,0.47619047619047616,0.98132095734888,0.411124546553809,0.9635070049797092,0.4057418254377638,0.014392272009956473
GBDT,16,27,0.5373134328358209,0.6666666666666666,0.9908213917767164,0.5950413223140495,0.975200446448909,0.5939702006183694,0.007728313095036073
GBDT,16,28,0.4161849710982659,0.5179856115107914,0.9919265702340333,0.4615384615384615,0.9729490137933194,0.4603024133111875,0.0071780919421477315
GBDT,17,18,0.441747572815534,0.5870967741935483,0.9918111533006999,0.5041551246537396,0.9782029550075502,0.5052606463958622,0.006727576956033823
GBDT,17,19,0.7066869300911854,0.6343792633015006,0.9819009854344156,0.6685837526959023,0.9831210623486939,0.6603231016543752,0.014413677872699182
GBDT,17,20,0.5416666666666666,0.7722772277227723,0.9917054986020504,0.636734693877551,0.9762327100618614,0.6428755487330365,0.008187251690030243
GBDT,17,21,0.4146341463414634,0.6028368794326241,0.9903719912472647,0.49132947976878605,0.9564716751922409,0.4953448250097494,0.00888783890454692
GBDT,17,22,0.4474393530997305,0.6171003717472119,0.9852582204566123,0.51875,0.9479939637943018,0.5182857884863714,0.012714812159871622
GBDT,17,23,0.29219143576826195,0.4549019607843137,0.9826639699508812,0.3558282208588957,0.9386921179284329,0.3562419472870223,0.014187153250568971
GBDT,17,24,0.2605042016806723,0.32978723404255317,0.9815034094157037,0.2910798122065728,0.9057803806040131,0.28385365648048694,0.015223868974264448
GBDT,17,25,0.3136094674556213,0.39849624060150374,0.9804176241382756,0.35099337748344367,0.932917900005177,0.34372130313766935,0.015493410978944494
GBDT,17,26,0.32903225806451614,0.42857142857142855,0.980208652961031,0.3722627737226277,0.9565584507184169,0.3656557002273078,0.014908936657617541
GBDT,17,27,0.5283018867924528,0.6481481481481481,0.990587243607755,0.582120582120582,0.9754105954521084,0.5804991788950408,0.00805428882381395
GBDT,17,28,0.3953488372093023,0.4892086330935252,0.9915901773271181,0.4372990353697749,0.9701555446499114,0.4356066041738855,0.007577384460733733
GBDT,18,19,0.7351351351351352,0.7421555252387448,0.9848847709159436,0.7386286490156144,0.9856055996171391,0.7308549296862397,0.012184195095483349
GBDT,18,20,0.541095890410959,0.7821782178217822,0.9917054986020504,0.639676113360324,0.9759955250393796,0.6466914843639392,0.007510976477276467
GBDT,18,21,0.4444444444444444,0.5673758865248227,0.9911925601750547,0.4984423676012461,0.9576129799863076,0.4978185159940943,0.008097645893363523
GBDT,18,22,0.471976401179941,0.5947955390334573,0.9862154788685206,0.5263157894736842,0.9425447416082897,0.5229960233137046,0.012073162788890266
GBDT,18,23,0.3283582089552239,0.5176470588235295,0.9837784290254674,0.4018264840182649,0.9416471177157665,0.40455041277846676,0.013740262921320454
GBDT,18,24,0.2531328320802005,0.35815602836879434,0.9804417949450819,0.2966226138032306,0.9125769854655191,0.29145637590860185,0.015547909545148755
GBDT,18,25,0.3148148148148148,0.4473684210526316,0.9797182535717854,0.3695652173913044,0.9360509224153944,0.3653216139714028,0.01567413939670026
GBDT,18,26,0.43005181347150256,0.4649859943977591,0.9842359619515189,0.4468371467025572,0.9567958624243009,0.43919795208271395,0.013504611880086816
GBDT,18,27,0.5222222222222223,0.6527777777777778,0.9904467547063782,0.5802469135802469,0.9741191482427645,0.579143951078033,0.008384200909288942
GBDT,18,28,0.3837837837837838,0.5107913669064749,0.9912537844202028,0.43827160493827166,0.9652814178265514,0.4384641640838083,0.008993977755505709
GBDT,19,20,0.5962962962962963,0.7970297029702971,0.9930102516309413,0.6822033898305084,0.9856282410628869,0.6860584012864943,0.006273246693258396
GBDT,19,21,0.47761194029850745,0.6808510638297872,0.9917943107221007,0.5614035087719299,0.9678704519355849,0.5663369988526059,0.007065006116318659
GBDT,19,22,0.44352617079889806,0.5985130111524164,0.9851624946154214,0.509493670886076,0.9598356554315757,0.5079518631566761,0.01149461446433651
GBDT,19,23,0.31851851851851853,0.5058823529411764,0.983406942667272,0.39090909090909093,0.9431154974921722,0.3935108969715813,0.013239906807050748
GBDT,19,24,0.2824858757062147,0.3546099290780142,0.9821975419541873,0.31446540880503143,0.9213484874185176,0.30759342430733055,0.014371933986991464
GBDT,19,25,0.3315068493150685,0.4548872180451128,0.9805674892596663,0.3835182250396197,0.9495553129482271,0.3787321546724612,0.01491320206355824
GBDT,19,26,0.4380165289256198,0.44537815126050423,0.9845811598649893,0.44166666666666665,0.9534920326287233,0.4338653454156735,0.013109629856298533
GBDT,19,27,0.5289855072463768,0.6759259259259259,0.9906340732415473,0.5934959349593496,0.977292299632398,0.5933611050162771,0.007885615985109682
GBDT,19,28,0.38190954773869346,0.5467625899280576,0.9910615599019655,0.44970414201183434,0.9626945178255074,0.45264567298620606,0.008499249618710524
GBDT,20,21,0.5232558139534884,0.6382978723404256,0.9927242888402625,0.5750798722044729,0.9743337403557009,0.5743192719929227,0.006385844208126237
