Model,Training Period,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
CART,14,15,0.09472908219683007,0.8006230529595015,0.8697607111478629,0.16941331575477914,0.8908841176505258,0.24704618859300118,0.08286636816922467
CART,14,16,0.10098219766728055,0.7870813397129187,0.8769418960244648,0.1789989118607182,0.9030509512712761,0.2538237291241164,0.08140962765321706
CART,14,17,0.10716268739589117,0.8058455114822547,0.8580742011580528,0.18916932124479294,0.8992969201103923,0.2610124114192677,0.09185351672322499
CART,14,18,0.05340540540540541,0.7967741935483871,0.8984171279564481,0.10010131712259372,0.8704656046752196,0.18985320921673612,0.07928539414512645
CART,14,19,0.1594274432379072,0.8813096862210096,0.8628636488555612,0.27001044932079415,0.916620314594081,0.33990298721376694,0.09028401877315224
CART,14,20,0.0546975546975547,0.8415841584158416,0.8616029822926374,0.1027190332326284,0.9063410257198454,0.19299367211378787,0.09193835895179259
CART,14,21,0.03913963328631876,0.7872340425531915,0.8492888402625821,0.07457171649311388,0.8824647648048033,0.15393104979388472,0.10026615631238565
CART,14,22,0.05959868224019167,0.7397769516728625,0.8463600248887188,0.11031042128603102,0.8379245063318155,0.1807566445044194,0.10327268371974485
CART,14,23,0.05045317220543807,0.6549019607843137,0.8666363974078507,0.09368863955119214,0.8173843340105941,0.15563823002157404,0.09284730756843496
CART,14,24,0.05292726197516263,0.6347517730496454,0.8650116369278511,0.09770742358078603,0.8087759109574453,0.15537509253744117,0.09758014887607612
CART,14,25,0.0683371298405467,0.6766917293233082,0.8731141972224997,0.12413793103448274,0.8570876614379205,0.1871360652458106,0.08380377914278568
CART,14,26,0.07589658048373644,0.7647058823529411,0.8692850567658791,0.13808801213960545,0.8917805115435247,0.2141330834784594,0.0888996347665752
CART,14,27,0.07748478701825558,0.8842592592592593,0.8923386719115857,0.1424841477060798,0.922273779361725,0.2432138339244983,0.07124587497566626
CART,14,28,0.03427939550313306,0.6690647482014388,0.8718823585948388,0.06521739130434781,0.8412727582810384,0.1311927574746589,0.08275253154468525
CART,15,16,0.2826086956521739,0.5287081339712919,0.969092762487258,0.36833333333333335,0.8890212952103689,0.3723535373842458,0.02805441963772944
CART,15,17,0.3258575197889182,0.5156576200417536,0.9681321037958396,0.3993532740501213,0.896809134827586,0.39454505063554524,0.0320356709002514
CART,15,18,0.2055393586005831,0.45483870967741935,0.9836680543483234,0.2831325301204819,0.8370687579515593,0.29861290406655294,0.022442738774127682
CART,15,19,0.45965270684371806,0.6139154160982264,0.9681206077499902,0.5257009345794392,0.9258055802711462,0.5152786080963079,0.031898218615482796
CART,15,20,0.22132471728594508,0.6782178217821783,0.9745107176141659,0.3337393422655298,0.9426222999099233,0.37821098165289724,0.025887063104131927
