Scenario,Model,K,Retrain,Training Time,Testing Time,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
Static Model,LR,19,False,11.754546331000256,0.26351156500004436,0.10136986301369863,0.4868421052631579,0.998785834627037,0.16780045351473924,0.7446642855124379,0.22176189597038531,0.0024001293448298396
Sliding Window,LR,19,False,11.328890259000218,0.2623685869998553,0.07160741111667501,0.47039473684210525,0.9983334174206264,0.12429378531073447,0.7541769066334912,0.1830611372881805,0.0023024352586014703
Z-test,LR,19,False,9.112343069999952,0.22463366199963275,0.10803324099722991,0.5131578947368421,0.998812301447156,0.17848970251716248,0.8042842145626501,0.2350749565596137,0.0021129894387382207
Gama,LR,19,False,8.920295202000034,0.19842113200002132,0.07766470273165506,0.4769736842105263,0.9984442472298751,0.13357899585444497,0.7519694859547539,0.19201755960010045,0.002250840804468611
Harel,LR,19,False,12.40025194000009,0.26396294599999237,0.08288770053475936,0.5098684210526315,0.9984583077280633,0.14259429622815087,0.7678727017005681,0.2051376670290427,0.002279672367667002
Static Model,LR,20,False,1.918399993883213e-05,0.26664177100019515,0.13898026315789475,0.5971731448763251,0.9990937249232672,0.2254836557705137,0.7952300151170264,0.28779949603882504,0.0022496529776902343
Sliding Window,LR,20,True,19.03401106000001,0.2563751630000297,0.05426356589147287,0.46996466431095407,0.9980734824380907,0.09729334308705194,0.7809104953315747,0.15921315773350667,0.003472663320919439
Z-test,LR,20,True,23.86646666200022,0.3036396249999598,0.06433506044905009,0.5265017667844523,0.9982038424189816,0.11465948441708348,0.8419184245593861,0.18359923162216837,0.0028536278400426024
Gama,LR,20,False,0.276758480999888,0.26127977699979965,0.09888357256778309,0.657243816254417,0.9986011671511582,0.1719038817005545,0.8127865721595128,0.25457811240261324,0.0020541638845769927
Harel,LR,20,False,20.119993692000207,0.3052198700002009,0.09526261585993821,0.6537102473498233,0.9985519894338162,0.1662921348314607,0.8369259102374426,0.24918564707824792,0.0021754380310403955
Static Model,LR,21,False,1.9507000160956522e-05,0.29701076199989984,0.12345679012345678,0.47477744807121663,0.9989580043203538,0.19595835884874463,0.7873613393073652,0.24173650470447755,0.0023776325243903256
Sliding Window,LR,21,True,14.24196733000008,0.2317462149999301,0.06429652042360061,0.5044510385756676,0.9979041046535067,0.11405568601140557,0.8266301079985183,0.17955901553511594,0.0029102763819492464
