Model,Training Period,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
CART,18,19,0.010948905109489052,0.6907894736842105,0.9842323919140556,0.021556148634777252,0.8406271598144123,0.08566344709474179,0.013794876821721324
CART,18,20,0.010759619198730662,0.7667844522968198,0.98437475606291,0.021221456163512786,0.8791484437871866,0.0896849122079608,0.01375384835804581
CART,18,21,0.015036575453806557,0.658753709198813,0.9883682173064927,0.029402026355870473,0.8258668465156028,0.09834661334796659,0.010410888861449004
CART,18,22,0.01174380736208428,0.6363636363636364,0.9848618391318906,0.02306201550387597,0.8135839102949232,0.08504283132072779,0.01339859252171633
CART,18,23,0.013052591463414634,0.7154046997389034,0.9842130117771372,0.025637426900584796,0.8532875899088743,0.0952580579701497,0.013892887169654379
CART,18,24,0.01153923339353803,0.6084656084656085,0.9858998455731198,0.022648941408173317,0.7996768926172482,0.08243966167059542,0.012275423750070628
CART,18,25,0.0084171826625387,0.6615969581749049,0.9803722662324228,0.016622880343921665,0.8243323834489134,0.07313460253863456,0.017416498026221305
CART,18,26,0.013601274353633133,0.6201117318435754,0.981380107587717,0.026618705035971222,0.8040290002163744,0.0899302329816377,0.016569706351010204
CART,18,27,0.008519310436990512,0.4351535836177474,0.9796998132204222,0.016711448980929286,0.7096679869129987,0.058662099376928636,0.018367205356362312
CART,18,28,0.010231233369561143,0.4410339256865913,0.9817758034217026,0.0199985349058677,0.713122040573017,0.06501273717509352,0.016505471329216294
CART,18,29,0.017339079094703266,0.5494623655913978,0.9810107191610822,0.033617315219894084,0.7678458224466437,0.0951624382087663,0.0172619691324068
CART,18,30,0.016025522127833217,0.5386533665835411,0.9826016697739349,0.03112504052739652,0.7633583688974758,0.09071958478132662,0.01558522550462077
CART,18,31,0.023037906067293917,0.5885262116716122,0.9847627376218037,0.04434011476264997,0.7889567011759178,0.11431934053504673,0.01364448913071503
CART,18,32,0.020635391923990498,0.549407114624506,0.984842658734528,0.039776792101874375,0.7689942397758662,0.10435441009680066,0.01379444536666095
CART,18,33,0.020466397717209487,0.52,0.9833048050856149,0.03938275111237338,0.7533231767719148,0.10072379604425984,0.015112696852554976
CART,18,34,0.024905719673161533,0.5715144230769231,0.9800154942328485,0.04773137924111624,0.777601205205276,0.11633435857642269,0.018499754284951354
