Model,Training Period,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
LR,18,19,0.05110961667787491,0.5,0.9975402399051826,0.09273947528981084,0.7859574279720059,0.15928831357163548,0.0028147957415220323
LR,18,20,0.060615677562678515,0.6749116607773852,0.9976176128043164,0.11124053581828772,0.8761736683930492,0.20179622842392447,0.002759445129260279
LR,18,21,0.05272727272727273,0.516320474777448,0.9973898524064307,0.0956832554302997,0.8268440437164919,0.16439795353364142,0.00301544255613764
LR,18,22,0.06690037978381537,0.6122994652406417,0.9974932394793385,0.1206215433236766,0.8140289561110392,0.20183170443792645,0.0030345978181743677
LR,18,23,0.06750478272752118,0.6449086161879896,0.9973105951786279,0.12221672439386444,0.8440789738182861,0.20807060410430675,0.003362565617936966
LR,18,24,0.05350832912670368,0.5608465608465608,0.9972183272173469,0.0976958525345622,0.8763595736756682,0.17263078152689484,0.0036751967061106447
LR,18,25,0.05435801312089972,0.6615969581749049,0.997029192285434,0.10046189376443418,0.8946529051694471,0.18907701444483122,0.003992716673334013
LR,18,26,0.0771044564961094,0.6089385474860335,0.9968469887366241,0.1368773545416492,0.8498600230890034,0.21592462770488138,0.0044024575680611175
LR,18,27,0.05684917138661632,0.46245733788395904,0.9967453946082195,0.10125163459742201,0.7049835423442786,0.16130444755008666,0.004722804738675582
LR,18,28,0.04251281078003416,0.36187399030694667,0.9962946767309786,0.07608695652173914,0.6213016054998215,0.12305019426943627,0.005223380975581642
LR,18,29,0.05442919525888958,0.37526881720430105,0.9957056134690163,0.09506946336148189,0.6713740980193781,0.14167610199297961,0.00598424026440803
LR,18,30,0.04515855039637599,0.39775561097256856,0.9953242189673174,0.08110856852275616,0.6451355580677494,0.13282109465983322,0.006902195445979614
LR,18,31,0.05104651162790698,0.4342235410484669,0.9948117977094203,0.09135365726771408,0.7272231906042117,0.1475509964462936,0.00783997091247923
LR,18,32,0.02916518016410988,0.3231225296442688,0.9934670526582658,0.05350130890052355,0.6646598239246779,0.09550492010372073,0.008606029174758128
LR,18,33,0.03596945060359694,0.365,0.9931438969933731,0.06548553487328997,0.6665200050142535,0.11289935761960256,0.008750286128835355
LR,18,34,0.044203062533001436,0.35216346153846156,0.9927590004271184,0.07854701427518264,0.6327935858261877,0.1227759879373443,0.008965220880061919
LR,18,35,0.03657985849766672,0.3095541401273885,0.9924569673901292,0.0654281098546042,0.6238866461486001,0.10435203913657368,0.009400500561890693
LR,18,36,0.03912270302311796,0.29945553539019965,0.9923997832178789,0.06920415224913495,0.604086805013588,0.10606142914665982,0.00949512674387604
LR,19,20,0.06411439114391145,0.4911660777385159,0.9983037590510417,0.11342309261525908,0.8427954333604842,0.17701446170015248,0.0033272165065610583
LR,19,21,0.0736196319018405,0.4629080118694362,0.9982985234294276,0.1270358306188925,0.7834508851486394,0.1841141464821199,0.0034192767223158262
LR,19,22,0.08062977099236641,0.45187165775401067,0.9983993969960916,0.1368421052631579,0.7831215196089942,0.19038959285070403,0.003442706740908229
LR,19,23,0.06645569620253164,0.3838120104438642,0.9982558284966242,0.11329479768786127,0.8177429303226104,0.15916641479149948,0.003731224019644625
LR,19,24,0.0730186999109528,0.43386243386243384,0.9983690702990369,0.125,0.8564288969171561,0.1774999178885552,0.00383335347992578
LR,19,25,0.07916181606519208,0.5171102661596958,0.998370632097499,0.13730439172135284,0.8698946383593882,0.2018747793305171,0.004098316136109659
LR,19,26,0.10528694080433801,0.4338919925512104,0.9982537638880818,0.16945454545454547,0.8087272827379889,0.21312682907966846,0.004458798759567075
LR,19,27,0.062045193412485634,0.2764505119453925,0.998056437062859,0.10134501094776352,0.6631679870550492,0.13027138374518807,0.004954901541205393
LR,19,28,0.06310854670032456,0.2827140549273021,0.9979280159219921,0.10318396226415096,0.5594112835201079,0.13283383485576425,0.005357192203671729
LR,19,29,0.06732348111658457,0.2645161290322581,0.9973551129312485,0.10732984293193716,0.5895853372846215,0.13245193100859548,0.00595887689825535
LR,19,30,0.04653112555019912,0.27680798004987534,0.9966820585339473,0.07966983671272206,0.5974380575812908,0.11242826472416234,0.006621388305792716
LR,19,31,0.05245316681534344,0.29080118694362017,0.9964188155951432,0.08887545344619105,0.6535122570240919,0.12233113705317677,0.007053029498586298
LR,19,32,0.03322705151871119,0.1956521739130435,0.9962874564587811,0.05680677090804762,0.5929706522022172,0.07939817097656933,0.007664026713003766
LR,19,33,0.035350678733031674,0.20833333333333334,0.9957374903953681,0.060444874274661504,0.6128033239140007,0.08441186444992892,0.007904301336048188
LR,19,34,0.04020218643470083,0.20552884615384615,0.9950036102299856,0.06725002457968733,0.5518938166885866,0.08915688760092785,0.008540208039052226
