Scenario,Model,K,Retrain,Training Time,Testing Time,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
Static Model,LR,15,False,1.683176866004942,0.007716111984336749,0.225,0.028037383177570093,0.9822729856840147,0.04986149584487535,0.683933727440198,0.0742639568888158,0.028439460010071606
Sliding Window,LR,15,False,1.646615348989144,0.007598224008688703,0.25,0.028037383177570093,0.9824797147139387,0.05042016806722689,0.6852177836629672,0.07889605122031586,0.028300002618277285
Z-test,LR,15,False,1.6679399099957664,0.007485975016606972,0.23684210526315788,0.028037383177570093,0.9823763501989767,0.05013927576601672,0.6812973437406884,0.07649251010122728,0.028400909436944566
Gama,LR,15,False,2.345436570001766,0.017491535982117057,0.24324324324324326,0.028037383177570093,0.9824280324564577,0.05027932960893855,0.6805535636284812,0.07767094724248187,0.028305993138242898
Harel,LR,15,False,2.645917838992318,0.014289954997366294,0.21951219512195122,0.028037383177570093,0.9822213034265337,0.049723756906077346,0.6852885107174408,0.07320862702432554,0.02850099790788199
Static Model,LR,16,False,1.5273981261998415e-05,0.020186050998745486,0.18421052631578946,0.03349282296650718,0.9809989806320082,0.05668016194331983,0.6626230087034222,0.07200709483354094,0.028958022114053242
Sliding Window,LR,16,True,2.75457636298961,0.021845178998773918,0.17045454545454544,0.03588516746411483,0.9805912334352701,0.05928853754940712,0.6634474828431378,0.0711250148744929,0.028860314392935238
Z-test,LR,16,True,2.7479985190148,0.01580808701692149,0.16470588235294117,0.03349282296650718,0.9806320081549439,0.055666003976143144,0.662308720114053,0.06727861544789734,0.028867115693493126
Gama,LR,16,False,0.014415172016015276,0.01547107199439779,0.19444444444444445,0.03349282296650718,0.9811620795107033,0.05714285714285714,0.6632623036490226,0.07437116392025206,0.02884543884183894
Harel,LR,16,False,2.0138963920180686,0.02123105898499489,0.1794871794871795,0.03349282296650718,0.9809174311926605,0.05645161290322581,0.6641344123081248,0.07089012376357941,0.029006765115767566
Static Model,LR,17,False,1.13729911390692e-05,0.008774530986556783,0.25,0.027139874739039668,0.9783401243834441,0.048964218455743884,0.6864210759775339,0.07647588738622063,0.03121766045677201
Sliding Window,LR,17,True,3.3680131569853984,0.014985892979893833,0.2549019607843137,0.027139874739039668,0.9783830152262492,0.0490566037735849,0.6986788523120839,0.07735331445957859,0.032959608319034786
Z-test,LR,17,False,0.03293404201394878,0.015262164000887424,0.23728813559322035,0.029227557411273485,0.9781256701694189,0.0520446096654275,0.6827096705893452,0.07695946996553989,0.03116055374492599
Gama,LR,17,False,0.03797338099684566,0.016288024984532967,0.2653061224489796,0.027139874739039668,0.9784687969118593,0.04924242424242425,0.6867870329637378,0.07918406048466542,0.031113733092004565
Harel,LR,17,False,2.084332254016772,0.018429816991556436,0.25,0.027139874739039668,0.9783401243834441,0.048964218455743884,0.6848900538321538,0.07647588738622063,0.03128299128138296
Static Model,LR,18,False,1.4201999874785542e-05,0.02650727500440553,0.24691358024691357,0.06451612903225806,0.991971270414932,0.10230179028132992,0.7551181289609169,0.12314020383878324,0.02010318963052152
Sliding Window,LR,18,True,2.857884643977741,0.0288254150073044,0.265625,0.054838709677419356,0.9922228830230111,0.09090909090909091,0.7597535165214083,0.11797509828153327,0.022195934286229402
Z-test,LR,18,False,0.03917303399066441,0.02769486900069751,0.25882352941176473,0.07096774193548387,0.991971270414932,0.11139240506329115,0.7494054908861753,0.1324146348539344,0.01951660519394342
Gama,LR,18,False,0.03438928601099178,0.03590847097802907,0.24358974358974358,0.06129032258064516,0.9919941442883938,0.09793814432989689,0.7478324197709951,0.11915945304424647,0.02010685437065867
Harel,LR,18,True,5.264608250989113,0.031187238986603916,0.2698412698412698,0.054838709677419356,0.9922457568964729,0.09115281501340482,0.7646108789222739,0.11895731792412113,0.02217611802963573
Static Model,LR,19,False,1.591199543327093e-05,0.02185231097973883,0.14545454545454545,0.010914051841746248,0.9696910211613207,0.020304568527918784,0.7459190598509212,0.03246561770901205,0.036861252268784
Sliding Window,LR,19,True,0.9292603319918271,0.02213519098586403,0.17777777777777778,0.010914051841746248,0.9700836245141533,0.020565552699228794,0.7329651307779197,0.037494285331296374,0.031320489425035056
Z-test,LR,19,True,1.0091384609986562,0.021911073999945074,0.16666666666666666,0.010914051841746248,0.9699658435083036,0.020486555697823306,0.7298554333728524,0.03583835415184933,0.03134008774677613
Gama,LR,19,False,0.10276546800741926,0.018774394993670285,0.14893617021276595,0.009549795361527967,0.9699265831730203,0.017948717948717947,0.7410240493633855,0.0309024306826231,0.036826507261324984
Harel,LR,19,False,3.6450531230075285,0.009335467009805143,0.175,0.009549795361527967,0.9702014055200031,0.018111254851228976,0.7333013694293826,0.03468751833116366,0.03882246857786237
Static Model,LR,20,False,1.597401569597423e-05,0.019023341999854892,0.06779661016949153,0.019801980198019802,0.9882106244175209,0.030651340996168584,0.5306521761405607,0.031746348760722486,0.024970148570324997
Sliding Window,LR,20,True,3.2908167360001244,0.01921432398376055,0.0784313725490196,0.019801980198019802,0.9885834109972041,0.03162055335968379,0.542183536727932,0.034885529303125204,0.026237099574139066
Z-test,LR,20,True,3.3753989600227214,0.014182304992573336,0.0784313725490196,0.019801980198019802,0.9885834109972041,0.03162055335968379,0.5366417674790341,0.034885529303125204,0.026057373876054335
Gama,LR,20,True,3.4707419920014217,0.014132270007394254,0.07547169811320754,0.019801980198019802,0.9884902143522833,0.03137254901960784,0.5349762325936235,0.03403954803978452,0.026279903133958366
Harel,LR,20,True,7.508558992005419,0.014269028994021937,0.08,0.019801980198019802,0.9886300093196645,0.031746031746031744,0.547435840112377,0.03532604996694436,0.026165279102676704
Static Model,LR,21,False,1.5541008906438947e-05,0.01650857800268568,0.1509433962264151,0.05673758865248227,0.9902625820568928,0.08247422680412371,0.6367004757196104,0.0882824629989461,0.02386847570499531
Sliding Window,LR,21,True,0.9694910609978251,0.01231003098655492,0.1951219512195122,0.05673758865248227,0.9909190371991248,0.0879120879120879,0.6266828771828579,0.10156425924825087,0.015417675650264629
Z-test,LR,21,True,1.0480518529948313,0.017126072983955964,0.1951219512195122,0.05673758865248227,0.9909190371991248,0.0879120879120879,0.6274324082860526,0.10156425924825087,0.015370111950402034
Gama,LR,21,False,0.016636454995023087,0.014447789988480508,0.19047619047619047,0.05673758865248227,0.9908643326039387,0.08743169398907104,0.6343686011763378,0.10024989081855068,0.025092387037503678
