Model,Training Period,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
LR,14,15,0.23684210526315788,0.028037383177570093,0.9823763501989767,0.05013927576601672,0.6825498019969914,0.07649251010122728,0.028434449040004743
LR,14,16,0.1780821917808219,0.03110047846889952,0.981039755351682,0.052953156822810585,0.6622240696035597,0.06798026668836647,0.028938155743777963
LR,14,17,0.2549019607843137,0.027139874739039668,0.9783830152262492,0.0490566037735849,0.6857659553771999,0.07735331445957859,0.031206989956301598
LR,14,18,0.2564102564102564,0.06451612903225806,0.9920398920353173,0.10309278350515462,0.7481932868030867,0.12561904192529524,0.02009637893372694
LR,14,19,0.14814814814814814,0.010914051841746248,0.969730281496604,0.020330368487928845,0.7400365654707997,0.03291113183019561,0.0368916946281555
LR,14,20,0.07142857142857142,0.019801980198019802,0.9883504193849021,0.031007751937984492,0.5230364060961558,0.03285043283133226,0.02489816327809259
LR,14,21,0.16,0.05673758865248227,0.9904266958424508,0.08376963350785341,0.6333657074467107,0.09116192171021228,0.02379446552041676
LR,14,22,0.11764705882352941,0.03717472118959108,0.9840137845211315,0.056497175141242945,0.6183283235902302,0.05939877176485704,0.027966732198383446
LR,14,23,0.07291666666666667,0.027450980392156862,0.9860898996986833,0.03988603988603989,0.6606439538939219,0.038561049744772646,0.025502702832880093
LR,14,24,0.0684931506849315,0.01773049645390071,0.9859131926013638,0.028169014084507043,0.6763406229850044,0.02920199947236974,0.025753091614143516
LR,14,25,0.12162162162162163,0.03383458646616541,0.9839144769707263,0.05294117647058824,0.7157404066058219,0.05762980549518032,0.02690202814038249
LR,14,26,0.12048192771084337,0.028011204481792718,0.9838907640380484,0.04545454545454545,0.7420565115021316,0.051929969810064744,0.02624664603499144
LR,14,27,0.13333333333333333,0.027777777777777776,0.9883394211857264,0.04597701149425287,0.6343556277443116,0.05658740264244317,0.023728109328152776
LR,14,28,0.125,0.03597122302158273,0.991878514104474,0.055865921787709494,0.6777328210000939,0.06374625298776714,0.021255586452657238
LR,15,16,0.1686746987951807,0.03349282296650718,0.9807135575942916,0.05588822355289421,0.6632738153245409,0.06826649143215581,0.028732796293605214
LR,15,17,0.25,0.029227557411273485,0.9782543426978341,0.052336448598130844,0.6865657034949395,0.07936960294321185,0.031170451170840524
LR,15,18,0.25,0.06774193548387097,0.9919483965414704,0.10659898477157362,0.7505872263771802,0.12701805655454507,0.019467105661970782
LR,15,19,0.12698412698412698,0.010914051841746248,0.9693769384790546,0.020100502512562814,0.7376874722121944,0.029250689289927665,0.03684712324402873
LR,15,20,0.06451612903225806,0.019801980198019802,0.9880708294501398,0.030303030303030304,0.5473566619998156,0.030717045436432586,0.02511383765267151
LR,15,21,0.14754098360655737,0.06382978723404255,0.9899343544857768,0.0891089108910891,0.6323444371068334,0.09248166256822285,0.0243184972866722
LR,15,22,0.11827956989247312,0.040892193308550186,0.983726606997559,0.06077348066298342,0.6248057808277648,0.06251826885832613,0.028433665912199105
LR,15,23,0.0625,0.027450980392156862,0.9854294795063359,0.03814713896457766,0.6598242066724904,0.03470831715464202,0.02582869105197904
LR,15,24,0.08045977011494253,0.024822695035460994,0.9855048793434322,0.03794037940379404,0.6765965210171823,0.0385858037429108,0.026018189888959042
LR,15,25,0.12195121951219512,0.03759398496240601,0.9836147467279448,0.05747126436781609,0.7109347640060053,0.06086177963485279,0.026920612281611727
LR,15,26,0.1111111111111111,0.028011204481792718,0.983622276772016,0.04474272930648769,0.732065830415386,0.049336951513619234,0.02604214556580648
LR,15,27,0.1111111111111111,0.027777777777777776,0.9879179544815959,0.04444444444444444,0.6465379183706367,0.050819604607891776,0.023565123746094457
LR,15,28,0.15217391304347827,0.050359712230215826,0.9917824018453554,0.07567567567567568,0.6746810969221719,0.08407228494068072,0.021158685223608403
LR,16,17,0.2653061224489796,0.027139874739039668,0.9784687969118593,0.04924242424242425,0.6992557168094475,0.07918406048466542,0.032896126946911866
LR,16,18,0.2597402597402597,0.06451612903225806,0.992062765908779,0.10335917312661497,0.7985098629061984,0.12647677033696378,0.021849989187567264
LR,16,19,0.14285714285714285,0.009549795361527967,0.9698480625024538,0.017902813299232736,0.7490015140390254,0.029957930677269717,0.038380124302167376
LR,16,20,0.06666666666666667,0.019801980198019802,0.9881640260950606,0.030534351145038167,0.5658048129114351,0.03139539334528399,0.026855294449757792
LR,16,21,0.14814814814814814,0.05673758865248227,0.9902078774617068,0.08205128205128204,0.6400829449808199,0.08737474120285146,0.025877922705753918
LR,16,22,0.12345679012345678,0.03717472118959108,0.9842052362035132,0.05714285714285715,0.6343178337721815,0.061193731662612105,0.02971327783483629
LR,16,23,0.0707070707070707,0.027450980392156862,0.9859660709126181,0.03954802259887005,0.6821243247841435,0.03777445889861085,0.027282452127792914
LR,16,24,0.0684931506849315,0.01773049645390071,0.9859131926013638,0.028169014084507043,0.7009567100213887,0.02920199947236974,0.02752929545699002
LR,16,25,0.14666666666666667,0.041353383458646614,0.9840643420921171,0.06451612903225806,0.7462836160876065,0.07143251714699542,0.028578225836536734
LR,16,26,0.1282051282051282,0.028011204481792718,0.9840825406566431,0.04597701149425287,0.7571748279323396,0.0539771278668906,0.02782703948867177
LR,16,27,0.1276595744680851,0.027777777777777776,0.9882457619181418,0.045627376425855515,0.6911041813409587,0.05517089609321833,0.025479618441798312
LR,16,28,0.14285714285714285,0.04316546762589928,0.991878514104474,0.06629834254143646,0.717971863438132,0.07518239993176594,0.02307477264701365
LR,17,18,0.2698412698412698,0.054838709677419356,0.9922457568964729,0.09115281501340482,0.7570863256958729,0.11895731792412113,0.022256255100442237
LR,17,19,0.1794871794871795,0.009549795361527967,0.9702406658552865,0.018134715025906734,0.7305773234741566,0.03530156584444653,0.038873821438252916
LR,17,20,0.09302325581395349,0.019801980198019802,0.9889561975768872,0.03265306122448979,0.5456820449191405,0.038797881700899206,0.026674112809372385
LR,17,21,0.2222222222222222,0.05673758865248227,0.9911925601750547,0.09039548022598871,0.651833027773314,0.1089171947134825,0.025746974608743322
LR,17,22,0.13333333333333333,0.02973977695167286,0.9850189058536352,0.04863221884498479,0.6325374162559374,0.05734219714309968,0.029511056308314187
LR,17,23,0.09375,0.023529411764705882,0.9873281875593346,0.03761755485893417,0.6724263274473814,0.041970432716072564,0.027134916617992392
LR,17,24,0.09090909090909091,0.01773049645390071,0.9866481564656404,0.02967359050445104,0.6897668471575398,0.035306210195880226,0.027580797372433522
LR,17,25,0.14285714285714285,0.03383458646616541,0.9844639824158258,0.054711246200607896,0.7197365756432392,0.06357995057111615,0.02868810730923583
LR,17,26,0.12698412698412698,0.022408963585434174,0.9845044492175514,0.0380952380952381,0.7375917117770694,0.047979077375502485,0.028063294504725576
LR,17,27,0.17647058823529413,0.027777777777777776,0.9888545471574413,0.048,0.6469961067132038,0.06639007269962997,0.025839496329207776
LR,17,28,0.12903225806451613,0.02877697841726619,0.9922149070113893,0.04705882352941177,0.6953710761434394,0.05801833206188708,0.02355366485730687
LR,18,19,0.175,0.009549795361527967,0.9702014055200031,0.018111254851228976,0.7286887177897214,0.03468751833116366,0.03134450605821592
LR,18,20,0.0851063829787234,0.019801980198019802,0.9887698042870456,0.0321285140562249,0.5704228763265826,0.03672499238629343,0.017172180075815464
LR,18,21,0.2,0.05673758865248227,0.9909737417943107,0.08839779005524862,0.6404715907380321,0.10292637590500478,0.015952611731570053
LR,18,22,0.11764705882352941,0.02973977695167286,0.9846360024888718,0.047477744807121657,0.6278395654104937,0.053106187303616804,0.02036176362077406
LR,18,23,0.09859154929577464,0.027450980392156862,0.9871218062492261,0.042944785276073615,0.6680432727070471,0.04678459289950991,0.01795931973051846
LR,18,24,0.08333333333333333,0.01773049645390071,0.9864439998366747,0.029239766081871347,0.6884224669976496,0.03336086387115973,0.018398204137730648
LR,18,25,0.1323529411764706,0.03383458646616541,0.9842142072135078,0.05389221556886228,0.7284415093018086,0.060707323733344566,0.01978663301534337
LR,18,26,0.12121212121212122,0.022408963585434174,0.9843893832463946,0.037825059101654845,0.7491660090051965,0.0466088592182323,0.019210576000215085
LR,18,27,0.16216216216216217,0.027777777777777776,0.9887140582560644,0.04743083003952569,0.6802484905190933,0.06330470370493062,0.01646537403503588
LR,18,28,0.12121212121212122,0.02877697841726619,0.9921187947522706,0.04651162790697675,0.7042683414951637,0.05603735503342873,0.01371919281690318
LR,19,20,0.0784313725490196,0.019801980198019802,0.9885834109972041,0.03162055335968379,0.5393512890662479,0.034885529303125204,0.02621354388864089
LR,19,21,0.1951219512195122,0.05673758865248227,0.9909190371991248,0.0879120879120879,0.6342043846592058,0.10156425924825087,0.025010446041977986
LR,19,22,0.12987012987012986,0.03717472118959108,0.9843966878858948,0.057803468208092484,0.6338649561199858,0.06311785838999838,0.029106071533733974
LR,19,23,0.08235294117647059,0.027450980392156862,0.9865439385809222,0.041176470588235294,0.6729817139604048,0.04176293106754342,0.026844024389099795
LR,19,24,0.08196721311475409,0.01773049645390071,0.9864031685108815,0.02915451895043732,0.6860660665147391,0.0329985497022898,0.027150295383749207
LR,19,25,0.13043478260869565,0.03383458646616541,0.9841642521730443,0.05373134328358209,0.7240768613514343,0.06016840827278083,0.028254099671969835
LR,19,26,0.11428571428571428,0.022408963585434174,0.9842359619515189,0.03747072599531616,0.7505799130852029,0.04491173058810874,0.027651768396537744
LR,19,27,0.14634146341463414,0.027777777777777776,0.9885267397208953,0.04669260700389105,0.644990985166262,0.059710525517172236,0.025238242168138875
LR,19,28,0.11764705882352941,0.02877697841726619,0.9920707386227113,0.046242774566473986,0.6892084590672889,0.05511088232952329,0.022789090119189778
LR,20,21,0.2,0.05673758865248227,0.9909737417943107,0.08839779005524862,0.6275047417519322,0.10292637590500478,0.015316417592600117
LR,20,22,0.13513513513513514,0.03717472118959108,0.9845402766476811,0.05830903790087464,0.6287271154838915,0.06465596034148334,0.020166104305104064
