Scenario,Model,K,Retrain,Training Time,Testing Time,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
Static Model,CART,19,False,10.829914592000023,0.3921039520000704,0.007810353624553554,0.6546052631578947,0.9790043678524077,0.01543652794476981,0.8391914581194609,0.06995094971560523,0.0186131668550398
Sliding Window,CART,19,False,10.711087054000018,0.39814057299986416,0.01002227171492205,0.6217105263157895,0.9844639765900977,0.019726542114601817,0.8060408051084926,0.07757307014566237,0.013708434018506232
Z-test,CART,19,False,10.916187506999904,0.39216436699985024,0.011806820322803491,0.618421052631579,0.9868898260716374,0.02317125778024281,0.8037493431159796,0.08419638943948844,0.013033431001475396
Gama,CART,19,False,10.736618084999918,0.3979667260000497,0.007038227938549482,0.6480263157894737,0.9769242412086735,0.013925213826252916,0.810314974826467,0.06589765778458266,0.024911563700861675
Harel,CART,19,False,10.710704451000083,0.40002189000006183,0.009214401063930844,0.6381578947368421,0.9826559619407127,0.018166494990167616,0.8086172896707331,0.07525779530737853,0.017902168528616206
Static Model,CART,20,False,2.3065000050337403e-05,0.42636111199999505,0.011466372657111356,0.734982332155477,0.9859437594257292,0.022580470064593173,0.861190280679096,0.09068752387111324,0.01407803179363685
Sliding Window,CART,20,True,11.171631469999966,0.3850044620000972,0.016141817395690712,0.7915194346289752,0.9892964307905592,0.031638418079096044,0.8983091324389438,0.11210769802802412,0.009330401425921784
Z-test,CART,20,True,11.879177789000096,0.4238683900000524,0.020107505474815848,0.7137809187279152,0.9922525580219005,0.039113176493368186,0.8688374224889769,0.11896558759263363,0.0074524354744359735
Gama,CART,20,False,0.4501353119999294,0.42328015399994,0.008757051003905171,0.784452296819788,0.9803367190500426,0.017320745884372317,0.8810776355396331,0.08161201844817872,0.020235103212867107
Harel,CART,20,False,18.29861754600006,0.42021474099988154,0.007044968630612316,0.7102473498233216,0.9778216300774042,0.013951551329214964,0.84674327310116,0.06930217259540097,0.021023212752969707
Static Model,CART,21,False,1.6774999949120684e-05,0.4045376909998595,0.00798862353088795,0.5667655786350149,0.9810615499626215,0.01575517611152355,0.7820968241971349,0.0656700469447831,0.017193594492271168
Sliding Window,CART,21,True,11.805317995999985,0.4047498329998689,0.026850120224418916,0.5964391691394659,0.9941107007321746,0.05138693595807235,0.8213716230286492,0.1256784038055962,0.006546498280742278
Z-test,CART,21,True,12.649600229000043,0.41141505300015524,0.02823529411764706,0.6409495548961425,0.9940043584465138,0.054087892825842,0.8199907008640166,0.13367656461908678,0.006531797051577481
Gama,CART,21,False,0.8891446310001356,0.413022772000204,0.01064773735581189,0.6409495548961425,0.9839764396285321,0.020947485816806475,0.812472909564984,0.08120360380433987,0.016583504917556346
Harel,CART,21,False,20.439886974000046,0.4135134119999293,0.005025488121573531,0.6201780415430267,0.9670600802170017,0.009970184853905783,0.7940242698780838,0.05375803925566782,0.03107294574429189
Static Model,CART,22,False,1.60489998961566e-05,0.4236272729999655,0.0064233309994215955,0.5641711229946524,0.975374587649531,0.012702043764861691,0.771483666391865,0.05829848186249044,0.021019559494251848
Sliding Window,CART,22,True,12.36072093000007,0.4365975129999242,0.013404315999619736,0.7540106951871658,0.9843483248473346,0.02634036988604521,0.8882480849807742,0.09922824193394585,0.012700851686825748
Z-test,CART,22,True,13.430213705999904,0.4362362749998283,0.016963310415729616,0.7058823529411765,0.9884316643118083,0.033130451151408676,0.868876810498867,0.108264433379125,0.0088591595079206
Gama,CART,22,False,1.336134427999923,0.4256580490000488,0.009425431274346132,0.7245989304812834,0.9785405083190816,0.018608803131222963,0.8509512426883136,0.08107087972956638,0.021166734636534776
Harel,CART,22,False,20.39789126400001,0.4607468609999614,0.01144792002579813,0.7593582887700535,0.9815209932747647,0.02255579382098324,0.8715491073727641,0.09182171455892373,0.01737319410840172
Static Model,CART,23,False,1.5269999948941404e-05,0.4180728500000441,0.00597829924447478,0.6631853785900783,0.9678893553993895,0.011849778399813389,0.8200154246923568,0.06090576297850195,0.026100901077070828
Sliding Window,CART,23,True,12.542741923999756,0.3932699199999661,0.005990466784042599,0.7284595300261096,0.9648292857083299,0.011883212300615457,0.8309879822882527,0.06400683847866122,0.03252075645825922
Z-test,CART,23,True,13.682706336000138,0.43415009899990764,0.0037375309334898078,0.7650130548302873,0.9407307631375682,0.007438719423181893,0.8701991357237278,0.05085998826369293,0.038122956949511344
Gama,CART,23,True,14.570747514999766,0.44120525399966937,0.005539093215579184,0.7467362924281984,0.9610051461018411,0.010996616425715165,0.8653134986138242,0.06218061018666643,0.0248845188170773
Harel,CART,23,False,21.306679277000057,0.43405820699990727,0.010611561016475845,0.6945169712793734,0.9811120097691797,0.020903732809430257,0.8426520875236537,0.08431651045155554,0.018637132989866596
Static Model,CART,24,False,2.191199973822222e-05,0.46776989500040145,0.005618322485570429,0.48412698412698413,0.9768544366828481,0.011107738998482549,0.7309491424199099,0.05025237955301856,0.018281981539248735
Sliding Window,CART,24,True,12.954709978999745,0.46666285900028015,0.00382337722072098,0.7037037037037037,0.9506899486143491,0.007605432451751251,0.8469465954585763,0.049471944273719655,0.0576490717641614
Z-test,CART,24,True,14.097686067000268,0.4377495879998605,0.0027847231274218203,0.6216931216931217,0.9401208706436915,0.005544610520603537,0.8047364684944193,0.03878167583067018,0.09175436815068763
Gama,CART,24,False,0.47299312899986035,0.46611649499982377,0.006425474814203138,0.6587301587301587,0.9725583291778722,0.012726808075645283,0.8212314145566976,0.06322481703856521,0.01846397555698841
Harel,CART,24,False,22.334762474999934,0.46041997299971626,0.007221494566179334,0.5396825396825397,0.9799550499862906,0.01425227931672896,0.7593592545179079,0.060727732793466764,0.01970177894542629
Static Model,CART,25,False,1.505799991718959e-05,0.31018824100010534,0.0072438771990341495,0.4790874524714829,0.9834059986290047,0.014271960129127258,0.730467097072884,0.057356057306061255,0.013877761867320131
Sliding Window,CART,25,True,14.080081469000106,0.31322321799962083,0.0046746126924300645,0.7262357414448669,0.9611583099193134,0.009289431447886775,0.8544308393334605,0.05625365131306518,0.029503790496971008
Z-test,CART,25,True,14.81139169800008,0.3176241410001239,0.005097768802640004,0.7870722433460076,0.961430030137109,0.010129927328782207,0.8933279844696091,0.061435654054038336,0.027499272196958684
Gama,CART,25,False,1.0033343990003232,0.317898231000072,0.0030856302359787684,0.7338403041825095,0.9404837382600182,0.006145420388148573,0.8562827314072807,0.0450889539509184,0.04168983321898693
Harel,CART,25,True,36.34408114200005,0.31578020100005233,0.0033243628304574957,0.7186311787072244,0.945905748360383,0.006618110511940613,0.8456416502556,0.046473388002794526,0.03393617267425028
Static Model,CART,26,False,1.585300014994573e-05,0.4342455669998344,0.008683491609210356,0.4972067039106145,0.9764892702812633,0.017068882851206647,0.740348328375173,0.06336295555764102,0.01947167480965777
Sliding Window,CART,26,True,14.146954171999823,0.4519619729999249,0.02564102564102564,0.6610800744878957,0.9895470489832991,0.049367264636350994,0.8354845175129278,0.1288203585087123,0.01309593231662025
Z-test,CART,26,True,14.828376074000062,0.4494054940000751,0.019818859882791688,0.6927374301675978,0.985807626556245,0.03853524628373129,0.8515277280858371,0.11560066702684338,0.014506557138721354
Gama,CART,26,True,15.481404150999879,0.4321391600001334,0.01885457210736491,0.6945996275605214,0.9850346647746561,0.036712598425196856,0.8781287621789041,0.11282695646630723,0.013354894967616462
Harel,CART,26,False,19.772375110000212,0.41818291599975055,0.005336521637699755,0.6815642458100558,0.9477130729168259,0.01059012456417008,0.8311757061925251,0.05720049797375893,0.03613523477729267
Static Model,CART,27,False,1.4461999853665475e-05,0.469602383000165,0.0065729772153140555,0.45733788395904434,0.972383546890739,0.01295969438332648,0.712590246309765,0.052256872718075255,0.023872723850457567
Sliding Window,CART,27,True,14.687894989000142,0.4124064389998239,0.05684095463654582,0.5324232081911263,0.9963124394116409,0.10271604938271606,0.7488347680727298,0.1731065874119954,0.004484047681536285
Z-test,CART,27,True,15.595635646999654,0.3681598429998303,0.10002968239833779,0.5750853242320819,0.9977804281250402,0.170417193426043,0.8297482914625558,0.23921455123506608,0.003777949579184864
Gama,CART,27,False,0.4987236369997845,0.49557316600021295,0.014265142651426515,0.5409556313993175,0.9849994554235418,0.027797264117853385,0.7638404162188736,0.08607050392686158,0.013590055468685953
Harel,CART,27,False,19.49668887400003,0.4796879959999387,0.0039802969464936035,0.5819112627986348,0.9421084782774878,0.007906513019082288,0.7751960798292327,0.0446553800180516,0.03928799657051704
Static Model,CART,28,False,1.60509998750058e-05,0.46485291199996936,0.006061391011527004,0.3780290791599354,0.9736022962106259,0.011931470528248011,0.6905603687677135,0.045145660869279874,0.021773784202526514
Sliding Window,CART,28,True,15.984946071000195,0.4884017180002047,0.010466760961810467,0.4781906300484653,0.9807193776146709,0.020485137894044776,0.7468992055728487,0.06857497790055789,0.021152983721922907
Z-test,CART,28,True,15.913372531000277,0.46955761399976836,0.011603413188617944,0.5250403877221325,0.9809434679373746,0.02270504401285455,0.7323656504400213,0.07596076253553316,0.01975219938478801
Gama,CART,28,False,1.0106974740001533,0.48083202999987407,0.011200121492843312,0.4765751211631664,0.9820400801548607,0.021885896579864974,0.736358562684704,0.07096356613137263,0.016251217229706554
Harel,CART,28,False,23.23061001699989,0.4745559590000994,0.002861886460158321,0.5040387722132472,0.9257477737409734,0.005691457341432715,0.7272857464722123,0.03366585396557848,0.05072106422407273
Static Model,CART,29,False,1.7861000287666684e-05,0.5016445419996671,0.010087708400626134,0.43655913978494626,0.9739098566641846,0.019719746460402653,0.7168125099523872,0.06325428482777326,0.02243087377393085
Sliding Window,CART,29,True,16.253141614000015,0.5281468779999159,0.014156300345984207,0.5763440860215053,0.9756188208405725,0.027633851468048358,0.7978701773090675,0.08759565164372689,0.02130824922360082
Z-test,CART,29,True,16.699736868999935,0.5311042570001518,0.01663034751691708,0.6236559139784946,0.977606364275668,0.03239680500474781,0.8253222737545342,0.09931532947120945,0.02239469702911238
Gama,CART,29,True,17.696757181000066,0.5410699129997738,0.015499816725140074,0.6365591397849463,0.9754772689666584,0.03026275431959922,0.8373839022604328,0.09670817546934939,0.023784142994910173
Harel,CART,29,False,24.677324405000036,0.4998508620001303,0.0041650889814464215,0.6741935483870968,0.9029089879622735,0.008279031076075976,0.8154208096379763,0.0477390920149338,0.0621500433452239
Static Model,CART,30,False,1.7465999917476438e-05,0.4915983900000356,0.006368189275537518,0.36783042394014964,0.9698959399367851,0.012519628230700675,0.6764429922264957,0.045148659208724386,0.024806064990198055
Sliding Window,CART,30,True,16.163587871000345,0.4208546539998679,0.04862009486847779,0.5623441396508728,0.9940640610465004,0.08950188529470132,0.8757981296406243,0.16412301030643192,0.009205121526183855
Z-test,CART,30,True,17.078156389000014,0.43468407299997125,0.050985221674876846,0.516209476309227,0.9947640050251061,0.09280430396772024,0.7342378831108626,0.1610458596087701,0.005328500220233637
Gama,CART,30,False,0.572151673999997,0.5668095279997942,0.015815830241020283,0.5473815461346634,0.9820932076970549,0.03074337336741483,0.7879795075060402,0.09083496546050165,0.018010582066238765
Harel,CART,30,False,24.53287358999978,0.5032027120000748,0.00434071079139209,0.6184538653366584,0.9262037807325217,0.008620914407877012,0.7902124680092841,0.047417711613688816,0.04961077666827132
Static Model,CART,31,False,1.6525999853911344e-05,0.5564845840003727,0.007834347754564895,0.3768545994065282,0.9709602065537813,0.01534959611627017,0.6770798423621583,0.05092651006424599,0.02181460465891
Sliding Window,CART,31,True,16.713671774999966,0.47139726100022017,0.07697342584107868,0.5816023738872403,0.9955597590839582,0.13595375722543354,0.7701809540181768,0.2104745376869318,0.007091274137981294
Z-test,CART,31,True,17.452710649000437,0.4786371899999722,0.0600614161849711,0.6577645895153313,0.9936117325969765,0.11007200198626169,0.8494185349067154,0.19748388472828282,0.01026400513688341
Gama,CART,31,False,1.1425627459998395,0.5571571840000615,0.02309906364994353,0.6271018793273986,0.9838466483131956,0.04455689085670111,0.8295871397915356,0.11822917829323369,0.018198397326049002
Harel,CART,31,False,25.393099063000136,0.5441419009998754,0.004470287273059504,0.6775469831849654,0.9091782405619632,0.008881973483743394,0.8170784639938327,0.04998408681959098,0.06090904698693126
Static Model,CART,32,False,1.5892000192252453e-05,0.5634350139998787,0.008306498829039813,0.44861660079051385,0.9690800175943508,0.016310986563196093,0.7099192783650394,0.05775964112675147,0.025088564059110256
Sliding Window,CART,32,True,17.24509164300025,0.5085023039996486,0.05583250249252243,0.5533596837944664,0.994397588286544,0.10143090019923927,0.8217920439533323,0.17451670033269256,0.007069586475672894
Z-test,CART,32,True,18.049499410999942,0.4731531590000486,0.0559789972899729,0.6531620553359684,0.9935077071274625,0.10312012480499219,0.8323297975171915,0.18995198088062595,0.007464302398679552
Gama,CART,32,False,1.765114197999992,0.6087274550000075,0.022342741473475154,0.5780632411067194,0.9853051033216396,0.04302261445118588,0.8065832398871027,0.11159959757349826,0.017104802302769992
Harel,CART,32,False,27.057357738000064,0.5751604130000487,0.004592345644300738,0.6778656126482213,0.9158571063165187,0.009122886342932754,0.8200277115023757,0.051066829384660915,0.05702698894859875
Static Model,CART,33,False,2.943700019386597e-05,0.6004991939998945,0.006586599772972519,0.39166666666666666,0.9607220599131593,0.012955331670273027,0.6878763706189996,0.04665324865465797,0.02941957580266634
Sliding Window,CART,33,True,18.18512115900012,0.672393528000157,0.014670957718344245,0.5508333333333333,0.975356749348311,0.028580693979029296,0.8045316363076582,0.08697264245365667,0.025467562550114273
Z-test,CART,33,True,19.229576713999904,0.6532144319999134,0.011515338649036453,0.5283333333333333,0.9698415928140626,0.022539417316956113,0.7947269253333582,0.07470240942864188,0.026908132804462002
Gama,CART,33,False,2.437090433999856,0.6086624500003381,0.01840988517224164,0.49166666666666664,0.982412486103791,0.03549085659287777,0.764912273203819,0.09258585914084652,0.019112045535825385
Harel,CART,33,False,29.29134884699988,0.6142095079999308,0.004197741944993072,0.5933333333333334,0.9070984605715119,0.008336504405350817,0.770473362624915,0.04420199946575978,0.06352846494607021
Static Model,CART,34,False,1.6062000213423744e-05,0.6165851010000551,0.00991328696594707,0.5276442307692307,0.95340354366061,0.01946094511924816,0.788052630958663,0.06755317147651387,0.03254857162904103
Sliding Window,CART,34,True,18.84154367200017,0.696061961000396,0.019488451635939937,0.6231971153846154,0.9721920126229019,0.037794988610478364,0.814441017353356,0.10680262067669069,0.023521563523500506
Z-test,CART,34,True,19.843773468999643,0.6854793669999708,0.019084172930326777,0.6454326923076923,0.9706162565153986,0.03707219412851003,0.8392741306236287,0.10754006976298348,0.02632729091263453
Gama,CART,34,False,3.1050250749999577,0.6435527970002113,0.018315158228452474,0.5763221153846154,0.9725575122013134,0.035502082369273484,0.8210871454662486,0.09924452424686392,0.02414376187537489
Harel,CART,34,False,29.637033356999837,0.6453522800002247,0.004898401087946765,0.6688701923076923,0.8806306816356475,0.009725577920404052,0.8058794141629455,0.050113775067495606,0.08032405221778682
Static Model,CART,35,False,1.5204999726847745e-05,0.5925045870003487,0.009097598501572011,0.5197452229299363,0.9513038678415485,0.01788218793828892,0.7563696357676241,0.06391997533726212,0.03417310614941897
Sliding Window,CART,35,True,18.77029682400007,0.7165123760000824,0.044814123238838904,0.5044585987261146,0.9904060492035647,0.08231564724835004,0.8357658652008405,0.1482705046265044,0.01101320043533227
Z-test,CART,35,True,20.430340060000162,0.7510646170003383,0.04396728016359918,0.5477707006369427,0.9894547491387502,0.08140085186938002,0.8417198543199473,0.15305985913903192,0.01235382624406748
