Scenario,Model,K,Retrain,Training Time,Testing Time,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
Static Model,NN,19,False,14.304270709999969,1.2057769709999775,0.07349665924276169,0.6513157894736842,0.9978479166890669,0.13208805870580384,0.8536094418960095,0.21831335572947727,0.0022027696952668803
Sliding Window,NN,19,False,14.245084234000046,1.1902480019999757,0.06109225547670472,0.6513157894736842,0.9973954994826564,0.11170662905500704,0.8437132030106786,0.1989460209731294,0.002422895010314053
Z-test,NN,19,False,14.239489155000001,1.138337854999918,0.07508532423208192,0.6513157894736842,0.9978950607124041,0.1346480788847331,0.8510125239355278,0.22067102814907366,0.0020295314152077104
Gama,NN,19,False,14.288352221000082,1.1368916000000127,0.0667361835245047,0.631578947368421,0.9976866345039663,0.12071675573718957,0.8470367999392852,0.2047986553245709,0.0021729623886640047
Harel,NN,19,False,14.431095830999993,1.1487418109999226,0.06389157792836399,0.6513157894736842,0.9975129459969349,0.11636791066705847,0.8426816327586282,0.20347780494571396,0.0024452900138034993
Static Model,NN,20,False,1.0094999993270903e-05,1.2329497819999915,0.06952054794520549,0.7173144876325088,0.9978166654697487,0.1267561660942866,0.941207757262272,0.22288080695705512,0.0021105650567701407
Sliding Window,NN,20,True,34.51035891499998,1.1909742999999935,0.07018156424581005,0.7102473498233216,0.9978572566015231,0.12774070543374644,0.9209353897926255,0.2228338353659519,0.002256633977569307
Z-test,NN,20,False,2.1768933729999844,1.199351297000021,0.06928327645051195,0.7173144876325088,0.997808859482869,0.1263616557734205,0.9273771354143167,0.2224985805818355,0.0019980516748160917
Gama,NN,20,False,1.1901014609999265,1.2612078459999339,0.07241630276564774,0.7031802120141343,0.9979446836545757,0.13130979874628837,0.9168038550121186,0.22523657156650434,0.0019257424347233958
Harel,NN,20,False,25.091409365000004,1.2099763820000362,0.06168337891218475,0.7173144876325088,0.9975270633565119,0.11359820928931169,0.9241593705141437,0.20988783241193043,0.002364592127411857
Static Model,NN,21,False,9.432999945602205e-06,1.2357823199999984,0.06885245901639345,0.6231454005934718,0.9976453913316753,0.12400354295837025,0.8832129195568793,0.20660866596858235,0.0022889174645556506
Sliding Window,NN,21,True,19.572082894000005,1.1622634110000263,0.04840878529807261,0.6409495548961425,0.9965343525262642,0.09001875390706397,0.8850690179597249,0.17550779195408772,0.0029347219876165336
Z-test,NN,21,False,2.386503797000046,1.216125138999928,0.06664509867356842,0.6112759643916914,0.9976065049734858,0.12018669778296384,0.8798997884892936,0.20130189566715526,0.0021385523920990283
Gama,NN,21,False,2.4786047840000265,1.1822695160000194,0.06979131029763941,0.6053412462908012,0.9977366552335483,0.12515337423312883,0.8777545283674704,0.20501977920877706,0.002022309337867885
Harel,NN,21,True,39.10344074500006,1.1535881989999552,0.052763819095477386,0.6231454005934718,0.9969073441252236,0.09728978457261989,0.8849539788991964,0.18071780515264052,0.0027092121742078564
