Scenario,Model,K,Retrain,Training Time,Testing Time,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
Static Model,RF,19,False,14.789771761999987,5.814831710000021,0.11782661782661782,0.6348684210526315,0.9987130508717096,0.19876416065911431,0.8458884190100807,0.27313968847969006,0.001704071185963072
Sliding Window,RF,19,False,14.890677352000012,5.701780523000025,0.12161310649023314,0.6348684210526315,0.9987552323662743,0.20412480169222635,0.8532779002466344,0.27750642274642756,0.0016877180110387178
Z-test,RF,19,False,14.623285431,5.717275739999991,0.13365650969529086,0.6348684210526315,0.9988735059686815,0.22082379862700227,0.8540931039837663,0.2909599800912676,0.0016183021651383419
Gama,RF,19,False,14.734932226999945,5.781975202000012,0.12176656151419558,0.6348684210526315,0.9987568865425318,0.2043409211222869,0.8532835620545908,0.2776819455070042,0.0016004004955498727
Harel,RF,19,False,14.7227969999999,5.653166919,0.12270714737507907,0.6381578947368421,0.998761849071304,0.20583554376657826,0.853096501961149,0.2794775526381738,0.0015749526672130807
Static Model,RF,20,False,1.2032999961775204e-05,6.040637578999963,0.1159978009895547,0.7455830388692579,0.9986885942042109,0.20076117982873454,0.9152508556376046,0.2937660072843628,0.0016906079924405375
Sliding Window,RF,20,True,19.015072066999892,11.108800212999995,0.046804123711340205,0.8021201413427562,0.9963475787389896,0.08844730177284238,0.9258292165702099,0.1932318613360148,0.006091349979832864
Z-test,RF,20,True,30.009805166999968,11.427247491999992,0.05543071161048689,0.784452296819788,0.9969993786434443,0.10354477611940298,0.9210858772276517,0.20804253594570501,0.005565090611758602
Gama,RF,20,False,5.82336830600002,6.180884415000037,0.11634349030470914,0.7420494699646644,0.9986979613884664,0.20114942528735633,0.9241457649557924,0.2935054785654318,0.0015671767334078607
Harel,RF,20,False,62.23071444899995,5.920013390999998,0.12455516014234876,0.7420494699646644,0.9987908526323349,0.21330624682579988,0.9161179475413094,0.30371084312284813,0.0015168945830442372
Static Model,RF,21,False,1.1058999916713219e-05,6.034526094999933,0.11542610571736785,0.6350148367952523,0.9986008847043287,0.19534459151072567,0.8894555411000998,0.27034250967681017,0.0017737792872021497
Sliding Window,RF,21,True,14.514682889000028,5.991771754999945,0.08701030927835052,0.6261127596439169,0.9981429779966701,0.15278783490224476,0.8948772273433464,0.2329437539951363,0.0019084111976730887
Z-test,RF,21,True,36.59832471000004,5.946005833999834,0.10581745235707121,0.6261127596439169,0.9984850192289073,0.18103818103818103,0.9014394946139364,0.25698506188298353,0.0017152825968685444
Gama,RF,21,False,11.993629021999823,6.105723143999967,0.11304807184363444,0.6350148367952523,0.9985699343376065,0.19192825112107623,0.8961711070229428,0.2675342648752524,0.0016562665445967318
Harel,RF,21,False,26.05008567799996,5.905597427999965,0.12114152591729761,0.6172106824925816,0.998700084597669,0.20253164556962022,0.8942275927845743,0.2730596696680374,0.0015973374638832772
Static Model,RF,22,False,1.1321000101816026e-05,6.460428573000172,0.13896037056098817,0.7219251336898396,0.9986659139127837,0.23305999136814848,0.9168272970600717,0.31636695313531377,0.0017223270318241447
Sliding Window,RF,22,True,11.99459311999999,3.9524229979999745,0.08361306072627403,0.732620320855615,0.997670416922548,0.1500958641468091,0.9205528954697462,0.24700830065626825,0.002141677162974373
Z-test,RF,22,False,12.010670208000192,6.533586887000183,0.1383378016085791,0.6898395721925134,0.9987064545141959,0.23046002679767752,0.9002709993596819,0.30855127454131087,0.0016599489115914864
Gama,RF,22,True,30.152539357000023,4.00409748800007,0.10806385591485879,0.7058823529411765,0.9982815289512447,0.18743343982960597,0.9203942475644148,0.27576307480046097,0.001969194446933355
Harel,RF,22,False,41.50347258299985,6.312660487999892,0.17317708333333334,0.7112299465240641,0.9989654639121079,0.27853403141361255,0.9204529381131852,0.35063643317565857,0.0015039076936820852
Static Model,RF,23,False,1.0821999921972747e-05,6.303164733999893,0.12057667103538663,0.720626631853786,0.9983930275588193,0.2065868263473054,0.893711148688149,0.2943608294334373,0.0018744403179966932
Sliding Window,RF,23,True,10.746618418000025,1.5016220229999817,0.06588684650274529,0.720626631853786,0.9969528164087046,0.12073490813648294,0.9046793826141479,0.21731530479749045,0.002789545712562329
Z-test,RF,23,True,22.875944380999954,1.5793406230000073,0.07397480568212275,0.720626631853786,0.9972999830964692,0.13417598444336412,0.8943970828816874,0.23033893534371921,0.0028371244839384756
Gama,RF,23,False,4.114183700000012,3.95282789099997,0.1081399921352733,0.7180156657963447,0.9981989780564882,0.18796992481203006,0.8919321891609381,0.27821123673128295,0.002045085428951987
Harel,RF,23,False,102.78981004699995,6.292978060999985,0.1694290976058932,0.720626631853786,0.9988933114320171,0.27435387673956263,0.8895702835149925,0.349088627020032,0.001657571696518452
Static Model,RF,24,False,9.968999847842497e-06,6.903586400999984,0.09377526273241714,0.6137566137566137,0.9983037194573607,0.1626928471248247,0.9121894354691099,0.23946232515711585,0.0018774228350339891
Sliding Window,RF,24,True,26.832628183999987,14.490448782000158,0.08663181478715459,0.6137566137566137,0.998158811069296,0.15183246073298431,0.8888855768602082,0.23012321707112646,0.0020278375873575435
