Scenario,Model,K,Retrain,Training Time,Testing Time,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
Static Model,GBDT,15,False,6.703630822999912,0.10016714000016691,0.4277227722772277,0.6728971962616822,0.9796371905524833,0.523002421307506,0.9715528255785701,0.5269272638943169,0.014887813744281369
Sliding Window,GBDT,15,False,6.509327856000027,0.09875725000006241,0.4411764705882353,0.6542056074766355,0.9805157889296604,0.5269761606022584,0.972312568394044,0.5279084212698002,0.014179204251366094
Z-test,GBDT,15,False,6.456502284999942,0.10001723299978948,0.4528301886792453,0.6728971962616822,0.9810842937619515,0.5413533834586466,0.9727481455431805,0.5429818720461677,0.014236339957709366
Gama,GBDT,15,False,6.434644677000051,0.10171038599992244,0.4535637149028078,0.6542056074766355,0.9811876582769136,0.5357142857142857,0.9719030227302345,0.5356551059987076,0.013847134750011404
Harel,GBDT,15,False,6.476761618000182,0.09647028399990631,0.44398340248962653,0.6666666666666666,0.9806191534446225,0.5330012453300124,0.969676348414568,0.5348220945876129,0.014279333254148988
Static Model,GBDT,16,False,1.693600006547058e-05,0.1185377790000075,0.3666191155492154,0.6148325358851675,0.9753312945973497,0.4593386952636282,0.9680046376174166,0.4632780005513309,0.01833694757400303
Sliding Window,GBDT,16,True,15.929725591000079,0.172187797000106,0.35224274406332456,0.638755980861244,0.9738226299694189,0.45408163265306123,0.9672675926684917,0.462486766326356,0.018765206259829362
Z-test,GBDT,16,True,16.49244857199983,0.17043527700002414,0.3799126637554585,0.6244019138755981,0.9762283384301733,0.4723981900452488,0.9699592903488693,0.4759292727639319,0.01809643365940394
Gama,GBDT,16,False,0.10570468899982188,0.12728780099996584,0.3773006134969325,0.5885167464114832,0.9764322120285424,0.45981308411214955,0.9687563202571947,0.4599723794462785,0.016963229563578427
Harel,GBDT,16,True,18.240411080000058,0.1704176880000432,0.35157318741450067,0.6148325358851675,0.9741080530071355,0.4473455178416014,0.9651844755925685,0.45301072468409387,0.018978745755626004
Static Model,GBDT,17,False,1.5176000033534365e-05,0.12036205899994457,0.4077669902912621,0.6137787056367432,0.9737508042033026,0.49,0.9596887820607758,0.48762846576994023,0.01892457905860009
Sliding Window,GBDT,17,True,11.621569418000036,0.2188249729999825,0.5351170568561873,0.6680584551148225,0.9812567016941883,0.5942432683379758,0.9767279971447493,0.5885443424278154,0.014876500536777842
Z-test,GBDT,17,True,10.426301728999988,0.16681108200009476,0.4614285714285714,0.6743215031315241,0.9771391807849025,0.547921967769296,0.9751017146497253,0.5468051144106045,0.016712812905494534
Gama,GBDT,17,True,9.625359888000048,0.22918963200004328,0.5099236641221374,0.697286012526096,0.9800128672528415,0.5890652557319225,0.9777246654094495,0.5865345889867284,0.015480670503899549
Harel,GBDT,17,True,15.142019535000145,0.21031448400003683,0.5441640378548895,0.7202505219206681,0.9818571734934591,0.6199460916442049,0.9777017645288488,0.6171444693808125,0.014734394424147234
Static Model,GBDT,18,False,1.866000002337387e-05,0.29149332199995115,0.2841918294849023,0.5161290322580645,0.9873507479756622,0.3665521191294387,0.9717210221395194,0.37719955256113236,0.009042853062600503
Sliding Window,GBDT,18,True,5.552812950000089,0.18714710799986278,0.4529262086513995,0.5741935483870968,0.992062765908779,0.5064011379800853,0.974596328311713,0.5060529950085431,0.006755422357706955
Z-test,GBDT,18,True,5.506874859999925,0.15581570800009104,0.42487046632124353,0.5290322580645161,0.9915824145660826,0.471264367816092,0.9712172871360119,0.46992768298527204,0.007061301650134419
Gama,GBDT,18,False,0.18126642399988668,0.325788952000039,0.35860655737704916,0.5645161290322581,0.9897525046891441,0.43859649122807015,0.9774697766429259,0.44509889614994363,0.007965285808028601
Harel,GBDT,18,True,28.237850625999954,0.15972659600015504,0.4444444444444444,0.6064516129032258,0.9918340271741617,0.5129604365620737,0.9798174559766001,0.5152031528400569,0.006559261899293628
Static Model,GBDT,19,False,1.7924999838214717e-05,0.11935788400001002,0.5981630309988519,0.7107776261937244,0.9779356915708061,0.6496259351620948,0.977260296364288,0.6408544705138761,0.016889926069538336
Sliding Window,GBDT,19,True,7.698571777000097,0.26949844399996437,0.6962025316455697,0.7503410641200545,0.9833928781751796,0.7222586999343401,0.9851368673852038,0.7142432822292365,0.012727255880827713
