Scenario,Model,K,Retrain,Training Time,Testing Time,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
Static Model,GBDT,19,False,27.076584231000197,8.678776203000325,0.09329446064139942,0.631578947368421,0.9983640196813891,0.16257408975444537,0.8381971583749169,0.24232278730906137,0.0026732701704629503
Sliding Window,GBDT,19,False,27.00892945800024,8.875429801000337,0.10223144784639336,0.6480263157894737,0.9984806391075388,0.1766024204392649,0.8405898729786925,0.2569922928379844,0.002368030896958457
Z-test,GBDT,19,False,25.33865537199972,6.555423978999897,0.07888349514563107,0.6414473684210527,0.9980265677248708,0.1404899135446686,0.8416710946059727,0.22448438002177093,0.0027080825881267965
Gama,GBDT,19,False,25.568480131999877,8.365710760000184,0.07264011799410029,0.6480263157894737,0.9978313749264925,0.1306366047745358,0.8532862412422539,0.21648158283178437,0.0024393641562462072
Harel,GBDT,19,False,22.752970426000047,7.086559535000106,0.09448818897637795,0.631578947368421,0.9983855239727358,0.1643835616438356,0.8498757809403421,0.24387385224893987,0.0023656026548673787
Static Model,GBDT,20,False,2.4729999950068304e-05,7.885553717000221,0.09147701918786257,0.7243816254416962,0.998349814373632,0.1624405705229794,0.9300765689593167,0.2570501310272855,0.0019012206200535048
Sliding Window,GBDT,20,True,20.720358486999885,4.830328670000199,0.060658578856152515,0.7420494699646644,0.9974045093625007,0.11214953271028039,0.9195954264521766,0.21169647094637506,0.0026725474608576263
Z-test,GBDT,20,True,36.48073884300038,4.242039419000321,0.10209042294603791,0.7420494699646644,0.9985012505190981,0.1794871794871795,0.9358502420756174,0.27489389009075293,0.0023582364844914614
Gama,GBDT,20,False,6.467175194999982,7.758239364999554,0.08887008040626322,0.7420494699646644,0.9982623873205794,0.15873015873015875,0.9267811228457769,0.25642608784155557,0.0020999976882372187
Harel,GBDT,20,False,111.61065768900016,5.242895216999841,0.08959044368600683,0.7420494699646644,0.9982772186956508,0.15987818804720214,0.924548687020856,0.25746650580016794,0.0021399903627476327
Static Model,GBDT,21,False,1.983799984373036e-05,9.276253567999902,0.09927360774818401,0.6083086053412463,0.9984191504997294,0.1706910907577019,0.8565887239225431,0.24531355519058834,0.001938440812245365
Sliding Window,GBDT,21,True,14.658896189000188,1.837085673999809,0.09223300970873786,0.6201780415430267,0.998265985864412,0.16058394160583941,0.910127877488465,0.23872020726910517,0.002310193541307617
Z-test,GBDT,21,False,10.097400510999705,5.055427872000109,0.10023529411764706,0.6320474777448071,0.9983842321372736,0.17303005686433792,0.9167006456831679,0.251275104320191,0.0024198420786081193
Gama,GBDT,21,False,14.945552225000029,5.618711257000086,0.08384853168469861,0.6439169139465876,0.998023144525515,0.14837606837606837,0.879364846729084,0.23188877971055288,0.00250551122687717
Harel,GBDT,21,True,61.06102681199991,1.7935398439999517,0.07743608743979252,0.6201780415430267,0.9979223574338812,0.13768115942028986,0.9043603273626583,0.21865079348601235,0.002401293128916775
Static Model,GBDT,22,False,1.803499981178902e-05,9.830851627999891,0.10134069400630914,0.6871657754010695,0.9982011985002981,0.17663230240549826,0.8813511719484273,0.26344656740780653,0.002564611442203643
Sliding Window,GBDT,22,True,16.677688422999836,2.581053544000042,0.09949712643678162,0.7406417112299465,0.9980450421096728,0.175427485750475,0.8948030238401995,0.2710175106727513,0.002681023248563964
Z-test,GBDT,22,True,26.50354293600003,2.682303979000153,0.0686055182699478,0.7379679144385026,0.9971133590290676,0.12554014100523084,0.9323961751451992,0.22445795429426066,0.0034463848147037097
Gama,GBDT,22,False,26.037275644000147,9.317667003999759,0.12024756852343059,0.7272727272727273,0.9984294270712119,0.20637329286798178,0.915886078720299,0.2953259301046101,0.0022910714661502946
Harel,GBDT,22,False,138.4941632150003,1.889685247000216,0.09303952430919903,0.7112299465240641,0.9979722191775062,0.16455304670584597,0.8818874336337689,0.2567755670322753,0.0023884018823937523
Static Model,GBDT,23,False,1.8089000150212087e-05,9.563848252999833,0.10109806891329041,0.6971279373368147,0.9981125653874813,0.17658730158730157,0.8639852212924334,0.2650189558096939,0.0025959357933572095
Sliding Window,GBDT,23,True,19.688288699000168,3.966281039000023,0.06217047451669596,0.7389033942558747,0.9966882723606046,0.11469098277608916,0.8760026103483903,0.21373062501419923,0.003483448341149453
Z-test,GBDT,23,False,5.0101101179998295,2.648221971000112,0.06534560037744751,0.7232375979112271,0.9969164321270175,0.11986153180441367,0.8895533600295928,0.21680875116135956,0.0036009138663881035
Gama,GBDT,23,False,35.35098429299978,9.173382667000624,0.08800773694390715,0.7127937336814621,0.997772220752533,0.15667144906743183,0.8747067684700349,0.249966379603436,0.002759183791895345
Harel,GBDT,23,False,88.97486850699988,1.5932782030004091,0.09461775797051765,0.720626631853786,0.997916999873413,0.16727272727272727,0.8883670461727005,0.2606457216547569,0.002473408942295887
