Model,Training Period,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
GBDT,18,19,0.10255047821466524,0.6348684210526315,0.9985112413683015,0.17657822506861845,0.8360096268206446,0.25476365215812957,0.002312040266466721
GBDT,18,20,0.08792595708876735,0.7385159010600707,0.9982498977415719,0.15714285714285714,0.9270584248995595,0.2544469353616388,0.00233425831754422
GBDT,18,21,0.10819009100101112,0.6350148367952523,0.9985024784101352,0.18488120950323977,0.8713058467993611,0.26170378317683496,0.0018793187160500156
GBDT,18,22,0.13731495661051557,0.7192513368983957,0.9986524003789795,0.23060437205315043,0.9063874552952288,0.3138996891564155,0.0017170067466232679
GBDT,18,23,0.1254681647940075,0.6997389033942559,0.9984968743628013,0.2127828503374355,0.8729380519226985,0.29589909634017036,0.0018948069205070265
GBDT,18,24,0.0975076519457805,0.58994708994709,0.998423766112179,0.1673545966228893,0.8457617106191294,0.2394085623813976,0.0021356488813006527
GBDT,18,25,0.08183079056865465,0.6730038022813688,0.9980245463464118,0.14591920857378401,0.8913764040268699,0.23422705024973117,0.002600702670651045
GBDT,18,26,0.11835506519558676,0.659217877094972,0.9978439641700485,0.20068027210884354,0.9006694352783878,0.2787308680032628,0.002861559793470079
GBDT,18,27,0.09698795180722891,0.5494880546075085,0.9977932814824386,0.16487455197132614,0.8096957015372802,0.2302150001530615,0.0030245073171476958
GBDT,18,28,0.07470678225395207,0.47334410339256866,0.9973061482483493,0.1290464655362255,0.7489773866591537,0.18727637547672474,0.0038615623970976115
GBDT,18,29,0.10788216560509555,0.5827956989247312,0.9968522482832796,0.18206247900571046,0.8516672676521185,0.24982922040377575,0.003743634056776523
GBDT,18,30,0.0894695170229612,0.5635910224438903,0.996797853332626,0.15442432524769387,0.8221058306180008,0.22367497363721953,0.0037043151129466483
GBDT,18,31,0.10883095037846931,0.6399604352126608,0.9966362531353187,0.18602645198389878,0.8677058772066902,0.2629953484015376,0.0037214749022007132
GBDT,18,32,0.0881203007518797,0.5790513833992095,0.9963354513182494,0.15296267293134952,0.8328211242129727,0.22491176622259595,0.003874129950396607
GBDT,18,33,0.08163265306122448,0.5366666666666666,0.9957215855087836,0.14170975904940036,0.8270049126786339,0.20813890224722217,0.005051558870711392
