Model,Training Period,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
NN,18,19,0.07319778188539741,0.6513157894736842,0.9978388187196511,0.13160518444666003,0.8414851148959765,0.2178669526794711,0.0021833391039805887
NN,18,20,0.07090464547677261,0.7173144876325088,0.9978611595949629,0.1290527654164018,0.9367304263806521,0.22509754753662922,0.002105207050852304
NN,18,21,0.06779661016949153,0.6053412462908012,0.9976684057069302,0.12193664076509263,0.8761377299604921,0.2020527541154102,0.002274582490576603
NN,18,22,0.08309085030714516,0.6871657754010695,0.9977830297042488,0.1482549754831266,0.8892536361294323,0.23845317203252545,0.002216858626130869
NN,18,23,0.08949801849405548,0.7075718015665796,0.9978252811633268,0.158897683963647,0.8756327158354039,0.2511556372608105,0.002319319487710264
NN,18,24,0.07079646017699115,0.6349206349206349,0.9976644177453107,0.12738853503184713,0.9007216489442681,0.2114935239003259,0.0024093621805861007
NN,18,25,0.011574662935639786,0.6920152091254753,0.9851049650434324,0.022768499405767185,0.9101286718760735,0.08823375720576325,0.010160970735145056
NN,18,26,0.0915032679738562,0.6517690875232774,0.9972002116279141,0.16047684548372304,0.8868962137569172,0.2435214934778362,0.0031051197301068083
NN,18,27,0.07415155741515574,0.5443686006825939,0.9971249068977204,0.13052373158756136,0.8031821931646141,0.20016937014220107,0.003093191701585646
NN,18,28,0.06570698862317158,0.45718901453957994,0.9970302923799754,0.11490052781161185,0.7410108288717365,0.17249937542909366,0.0036131749440265334
NN,18,29,0.08602540834845734,0.5096774193548387,0.9964502151071399,0.14720496894409935,0.8073360921361186,0.2083632119173068,0.00430587808847737
NN,18,30,0.06543569808875932,0.5037406483790524,0.9960099311829571,0.11582568807339451,0.81490438069932,0.18052423144668903,0.004906961021907589
NN,18,31,0.06628274616079494,0.5806132542037586,0.9948355613750132,0.11898246680855375,0.8441239371971236,0.19496934645795316,0.005841874044819639
NN,18,32,0.054449131757088196,0.5484189723320159,0.9942999046313911,0.09906291834002677,0.8140472678288865,0.17153288549963408,0.006056182214169626
NN,18,33,0.05862862402208928,0.5308333333333334,0.9940817368574906,0.10559469539991712,0.7952156842407009,0.17501367982577656,0.005904788630907697
NN,18,34,0.10090048487647195,0.5252403846153846,0.9954823409458012,0.16928142552779393,0.8182072464608157,0.2288339497909704,0.005422140612280089
NN,18,35,0.09156570363466915,0.5006369426751592,0.995337488774279,0.1548158361236951,0.8046310239645522,0.2126981255635658,0.005283741712285595
NN,18,36,0.09073010664479081,0.5018148820326679,0.9947850714858736,0.15367514242045294,0.8203086923358993,0.21181109949966964,0.0063048741171071385
NN,19,20,0.07548579970104634,0.7137809187279152,0.9980055703522374,0.1365326123690436,0.9257606052692592,0.23170975295198243,0.0022924611350237482
NN,19,21,0.06753429475905734,0.56973293768546,0.9977810967857648,0.12075471698113208,0.8709382273010294,0.19562445549480778,0.0024488568337656803
NN,19,22,0.08960057574667146,0.6657754010695187,0.9980067537638946,0.15794481446241673,0.9040959286543316,0.24376462612195396,0.0023484040204917508
NN,19,23,0.09472934472934473,0.6945169712793734,0.9979844623957078,0.1667188968975243,0.8777378125149196,0.2560214849781201,0.0024697787085024197
