x,y
1,0.015311205495254575
2,0.011992992858105376
3,0.01774982529699511
4,0.011664506572856878
5,0.013104383190239493
6,0.009247218610027452
7,0.005207737209568502
8,0.009763094577086804
9,0.013629388934019316
10,0.029336842999065978
11,0.01377353836033221
12,0.010756006171478951
13,0.008101049938709162
14,0.005175915612920134
15,0.016590004651403173
16,0.017043832823649338
17,0.020544713703624276
18,0.007090900773136923
19,0.028777825762632013
20,0.009412861136999068
21,0.007713347921225383
22,0.012875125640166563
23,0.010525446815536386
24,0.011514433873667879
25,0.013288040763313018
26,0.013692850567658791
27,0.010115200899128969
28,0.006679802008746216
