Dataset,Model,Period,AUC,Time,Hyper
Backblaze,rf,16,0.9562346938775511,41.860432236000634,"{'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 43}"
Backblaze,rf,17,0.959007681520619,86.0639909700003,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 110, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 99}"
Backblaze,rf,18,0.9610590126840761,75.44402175700088,"{'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 110, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 48}"
Backblaze,rf,19,0.9087560595567867,89.73017742600132,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 70, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 12}"
Backblaze,rf,20,0.9616704267108496,71.12480319399947,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 31}"
Backblaze,rf,21,0.9627008535209813,89.7457038449993,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 70, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 80}"
Backblaze,rf,22,0.9624643371418574,92.07093153299866,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 74}"
Backblaze,rf,23,0.9644109527768047,94.02619192200109,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 34}"
Backblaze,rf,24,0.9776119968953116,81.3925606770008,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 55}"
Backblaze,rf,25,0.9725591135038089,62.073445006999464,"{'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 110, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 93}"
Backblaze,rf,26,0.9622275250733585,137.11762151699986,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 44}"
Backblaze,rf,27,0.9218264053014724,149.57736493500124,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 90, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 76}"
Backblaze,rf,28,0.9274876603209147,168.67225981699994,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 90, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 83}"
Backblaze,rf,29,0.9608245401821449,256.97979730299994,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 96}"
Backblaze,rf,30,0.9580630544286051,209.01408046299912,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 90, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 46}"
Backblaze,rf,31,0.9280140155150604,321.7110828090008,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 90, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 67}"
Backblaze,rf,32,0.9559622474964458,277.4675047609999,"{'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 90, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 53}"
Backblaze,rf,33,0.9347541666666667,366.1493000289993,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 75}"
Backblaze,rf,34,0.9598169812083949,434.29044253400025,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 110, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 71}"
Backblaze,rf,35,0.946197140571598,453.4031407049988,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 90, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 90}"
Backblaze,rf,36,0.980859713683828,298.97044826899946,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 87}"
Backblaze,gbdt,1,0.9799533341007353,140.36440460700032,"{'booster': 'dart', 'learning_rate': 0.17674247536616705, 'max_depth': 9, 'n_estimators': 30, 'subsample': 0.6287862049320806}"
Backblaze,gbdt,2,0.9636681986930186,114.4162043260003,"{'booster': 'gbtree', 'learning_rate': 0.7457890716704065, 'max_depth': 7, 'n_estimators': 28, 'subsample': 0.6935319162393004}"
Backblaze,gbdt,3,0.9818867833161158,131.04496338100216,"{'booster': 'gbtree', 'learning_rate': 0.14659721052871322, 'max_depth': 8, 'n_estimators': 57, 'subsample': 0.6626537310114085}"
Backblaze,gbdt,4,0.9816983195634641,60.43153268000242,"{'booster': 'dart', 'learning_rate': 0.24749981007236632, 'max_depth': 8, 'n_estimators': 21, 'subsample': 0.8588671148804027}"
Backblaze,gbdt,5,0.9786691173080678,51.562580025998614,"{'booster': 'gbtree', 'learning_rate': 0.581383157458696, 'max_depth': 8, 'n_estimators': 28, 'subsample': 0.7272463031636355}"
Backblaze,gbdt,6,0.9765289064279319,78.4319633879968,"{'booster': 'dart', 'learning_rate': 0.18258422395751917, 'max_depth': 7, 'n_estimators': 41, 'subsample': 0.5739594961386244}"
Backblaze,gbdt,7,0.9685828454333844,55.25857867100058,"{'booster': 'dart', 'learning_rate': 0.9518177918115315, 'max_depth': 7, 'n_estimators': 29, 'subsample': 0.6506506038710753}"
Backblaze,gbdt,8,0.9692527274408285,68.39898074099983,"{'booster': 'dart', 'learning_rate': 0.5783882416254241, 'max_depth': 7, 'n_estimators': 47, 'subsample': 0.5090092818870732}"
Backblaze,gbdt,9,0.9785648123806019,61.52699413099981,"{'booster': 'gbtree', 'learning_rate': 0.9580192967204744, 'max_depth': 8, 'n_estimators': 18, 'subsample': 0.53043219839541}"
Backblaze,gbdt,10,0.9827885231381805,30.048425136999867,"{'booster': 'gbtree', 'learning_rate': 0.9756142758675792, 'max_depth': 9, 'n_estimators': 63, 'subsample': 0.8300676476123473}"
Backblaze,gbdt,11,0.9673158237378106,32.763068372001726,"{'booster': 'dart', 'learning_rate': 0.5458896222269569, 'max_depth': 7, 'n_estimators': 31, 'subsample': 0.8179088730253992}"
Backblaze,gbdt,12,0.9509877736893854,41.64758385800087,"{'booster': 'dart', 'learning_rate': 0.8383485496287321, 'max_depth': 8, 'n_estimators': 92, 'subsample': 0.8908243870402562}"
