Dataset,Model,Period,AUC,Time,Hyper
Google,lr,15,0.6797047383360812,2033.849399157,"{'C': 0.00026476911016763623, 'penalty': 'l2', 'solver': 'saga'}"
Google,lr,16,0.6780275851149283,184.4485721430001,"{'C': 8.237694749752771, 'penalty': 'l2', 'solver': 'saga'}"
Google,lr,17,0.6906257644570115,1312.2494692300002,"{'C': 0.0035886231532699007, 'penalty': 'l1', 'solver': 'saga'}"
Google,lr,18,0.67856241464637,191.19475525200005,"{'C': 0.00016155420205585922, 'penalty': 'l2', 'solver': 'saga'}"
Google,lr,19,0.6836372725724619,173.30903908100026,"{'C': 0.00019696205075693302, 'penalty': 'l2', 'solver': 'newton-cg'}"
Google,lr,20,0.6911419360320703,237.41179069200007,"{'C': 0.00013723859075354618, 'penalty': 'l2', 'solver': 'saga'}"
Google,lr,21,0.6808757755926402,3247.587841703,"{'C': 0.00017359839298745458, 'penalty': 'l2', 'solver': 'newton-cg'}"
Google,lr,22,0.6831474077941522,1669.097699576001,"{'C': 0.001969343449012962, 'penalty': 'l1', 'solver': 'liblinear'}"
Google,lr,23,0.6741845771977979,764.1163133280006,"{'C': 0.00013284132388439857, 'penalty': 'l2', 'solver': 'lbfgs'}"
Google,lr,24,0.6697290901333938,1128.4773306820007,"{'C': 0.00209174906510905, 'penalty': 'l1', 'solver': 'liblinear'}"
Google,lr,25,0.6798800790638125,1056.7671750570007,"{'C': 0.000134303490214595, 'penalty': 'l2', 'solver': 'newton-cg'}"
Google,lr,26,0.6833604227684886,121.54084368300028,"{'C': 0.00017329834123086134, 'penalty': 'l2', 'solver': 'saga'}"
Google,lr,27,0.6961331110145059,175.20839385100044,"{'C': 0.00016713650915269946, 'penalty': 'l2', 'solver': 'lbfgs'}"
Google,cart,15,0.8654044821058726,17.89248441199925,"{'splitter': 'best', 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'class_weight': 'balanced'}"
Google,cart,16,0.8844103909946333,17.246181366999735,"{'splitter': 'best', 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}"
Google,cart,17,0.8971352541703285,19.3162947740002,"{'splitter': 'best', 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10, 'criterion': 'gini', 'class_weight': 'balanced'}"
Google,cart,18,0.8797656653529831,18.450735361000625,"{'splitter': 'best', 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': 'balanced'}"
