Dataset,Scenario,Model,Round,Testing Period,Retrain,Training Time,Testing Time,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
Google,HT,Online,0,15,False,0.3545320769771933,2.1075244719395414,0.1037735849056603,0.0685358255451713,0.9747273760917876,0.0825515947467167,0.6614188665727568,0.0718414581821452,0.0278784212285693
Google,ARF,Online,0,15,False,34.47851017001085,56.527464258018895,0.5138888888888888,0.1152647975077881,0.9835133598635588,0.188295165394402,0.8826507190256432,0.2379432813420892,0.0184522319082632
Google,AUE,Online,0,15,False,5.886606051004492,21.73729897302109,0.2777777777777778,0.0311526479750778,0.9825830792289008,0.0560224089635854,0.7586098728419244,0.0882853534010944,0.0203204509223413
Google,HT,Online,0,16,True,1.631843340001069,3.0226797800278287,0.1238095238095238,0.062200956937799,0.97651376146789,0.0828025477707006,0.6481070339711528,0.0766572996803309,0.0256061102903777
Google,ARF,Online,0,16,True,113.75326533894984,71.56404325098265,0.3523573200992556,0.3397129186602871,0.978103975535168,0.3459196102314251,0.8911411305616528,0.3348468209539924,0.0250051569233707
Google,AUE,Online,0,16,True,23.88962959102355,30.98573581106029,0.3111111111111111,0.0669856459330143,0.9815698267074414,0.1102362204724409,0.7447723595937807,0.1378831118266801,0.0209100547183018
Google,HT,Online,0,17,True,1.852023986983113,3.0519881260115653,0.2963988919667589,0.2233820459290188,0.9731503324040316,0.2547619047619047,0.7446858986524956,0.2438718229557185,0.0280796890060363
Google,ARF,Online,0,17,True,134.50396459898909,67.2857294420246,0.7869565217391304,0.3778705636743215,0.9851168775466438,0.5105782792665726,0.9217512563944196,0.5392855848790219,0.017109561696239
Google,AUE,Online,0,17,True,29.95931644795928,37.53624527505599,0.314410480349345,0.150313152400835,0.9758095646579455,0.2033898305084746,0.8411898895309058,0.2063241374079353,0.0250938042853457
Google,HT,Online,0,18,True,2.0521630740258843,5.568546429043637,0.2947976878612717,0.164516129032258,0.9912850542110802,0.2111801242236024,0.8082302355445109,0.2161217929912352,0.0106773962244801
Google,ARF,Online,0,18,True,151.61810408590827,125.92868838307912,0.7246376811594203,0.1612903225806451,0.9936181893041768,0.2638522427440633,0.9288976389070543,0.3400025442273194,0.0068625290695999
Google,AUE,Online,0,18,True,36.19150254596025,51.58404180000071,0.217391304347826,0.1129032258064516,0.9908275767418456,0.1486199575371549,0.8829959246400247,0.1523767178496936,0.010246274867401
Google,HT,Online,0,19,True,1.569197999080643,3.1211533310124646,0.0660377358490566,0.0190995907230559,0.9639982725452476,0.0296296296296296,0.7478250647963922,0.0204180081339096,0.0352610558647248
Google,ARF,Online,0,19,True,102.01001868501773,73.70375803508796,0.7620689655172413,0.6030013642564802,0.98315731616348,0.6732673267326733,0.9467636933287318,0.6695468602570115,0.0239899381534432
Google,AUE,Online,0,19,True,25.05138778500259,42.10730966203846,0.4138755980861244,0.2360163710777626,0.968395430096973,0.3006081668114683,0.8425099131669336,0.2975370097157696,0.0273016260059571
Google,HT,Online,0,20,True,3.2949434879701585,2.6003489650320257,0.2673267326732673,0.5346534653465347,0.9818266542404472,0.3564356435643565,0.8502332028291737,0.3699732109903057,0.0168466725260252
Google,ARF,Online,0,20,True,218.6217660510447,57.972198183997534,0.8549618320610687,0.5544554455445545,0.9949207828518172,0.6726726726726726,0.9442171566860328,0.6862494313319163,0.0056874105883766
Google,AUE,Online,0,20,True,59.31780607998371,35.18707862193696,0.0235294117647058,0.0099009900990099,0.9868126747437092,0.0139372822299651,0.8851956956914997,0.0092188728004579,0.0127369463603193
Google,HT,Online,0,21,True,0.929883495089598,3.5831378740258515,0.0203193033381712,0.0992907801418439,0.9561269146608316,0.0337349397590361,0.7375378235603001,0.0285167532750092,0.0419439801289083
Google,ARF,Online,0,21,True,59.1948520039441,51.74792544997764,0.5476190476190477,0.1631205673758865,0.9925054704595186,0.2513661202185792,0.8837032310381729,0.2961514862122037,0.008125706227528
Google,AUE,Online,0,21,True,16.1426114999922,27.853424480068497,0.0666666666666666,0.0141843971631205,0.9908643326039388,0.023391812865497,0.7503686074322049,0.027321051889277,0.0140263936181209
Google,HT,Online,0,22,True,0.7662193529540673,1.9894683889579028,0.1102362204724409,0.0520446096654275,0.9823864452208874,0.0707070707070707,0.5799350235478354,0.067538140438944,0.0322733805240015
Google,ARF,Online,0,22,True,45.23821044201032,60.01619225600735,0.34375,0.0817843866171003,0.9861676159479252,0.1321321321321321,0.8449296448934507,0.1626888467770251,0.0157743716186248
Google,AUE,Online,0,22,True,11.058157476014456,30.81577603297773,0.2238805970149253,0.0557620817843866,0.9853539462978028,0.0892857142857142,0.764033889848619,0.1061613421027784,0.0182894820800911
Google,HT,Online,0,23,True,1.3045346600702032,3.6336043489864096,0.0412087912087912,0.0588235294117647,0.975688281669212,0.048465266558966,0.7605592145084298,0.0371337047867467,0.0225081226494759
Google,ARF,Online,0,23,True,89.50902560807299,66.33765494299587,0.2743362831858407,0.1215686274509804,0.9873694638213564,0.1684782608695652,0.8278053153515703,0.1769598081617334,0.0144120843582564
Google,AUE,Online,0,23,True,20.53810042899568,30.914116031955928,0.131578947368421,0.0392156862745098,0.9871630825112476,0.0604229607250755,0.78778787670583,0.0665417172222778,0.0178221488532345
Google,HT,Online,0,24,True,1.4805983590194955,2.4665829389123246,0.1621621621621621,0.0638297872340425,0.985423216691846,0.0916030534351145,0.7122989105804095,0.0952797841791099,0.0172483145240523
Google,ARF,Online,0,24,True,84.37159602704924,70.89338227105327,0.2765957446808511,0.0921985815602836,0.98677065044302,0.1382978723404255,0.8517613606568567,0.1542298236882721,0.0160904264638129
Google,AUE,Online,0,24,True,20.175679221982136,41.6754375040764,0.1481481481481481,0.0709219858156028,0.9846065901759832,0.0959232613908873,0.7590230788678614,0.0953488182795703,0.0183747600970019
Google,HT,Online,0,25,True,1.472720233956352,1.932516153086908,0.0440251572327044,0.0263157894736842,0.9794684783694676,0.0329411764705882,0.5892062515036071,0.024019132899751,0.0286277831059157
Google,ARF,Online,0,25,True,84.29538198700175,57.29654757096432,0.3125,0.075187969924812,0.9855130382655608,0.1212121212121212,0.8915060852313044,0.1479886059285313,0.0165912854318653
Google,AUE,Online,0,25,True,22.0409646939952,24.36308215500321,0.11875,0.0714285714285714,0.98061744430013,0.0892018779342723,0.8003696018600572,0.0826727533179984,0.0203750094978911
Google,HT,Online,0,26,True,1.3131688849534842,1.906099649029784,0.2033898305084746,0.0336134453781512,0.9849647131021786,0.0576923076923076,0.6513981910088554,0.0777388617126653,0.0172458211780577
Google,ARF,Online,0,26,True,76.59174297901336,73.6933923169272,0.3714285714285713,0.072829131652661,0.9856167536054004,0.1217798594847775,0.8638516577153902,0.1597183907804822,0.0163760685767076
Google,AUE,Online,0,26,True,20.412532607093453,32.47728307195939,0.2377049180327869,0.0812324929971988,0.9838524087143296,0.1210855949895616,0.8211838342181126,0.132169005931903,0.0184617009657908
Google,HT,Online,0,27,True,1.796313191996887,3.6928450999548654,0.0491803278688524,0.0138888888888888,0.9873091692422964,0.0216606498194945,0.6689215797072501,0.0208956625776955,0.016512409260273
Google,ARF,Online,0,27,True,99.64543227094693,61.08864940493368,0.4789272030651341,0.5787037037037037,0.989369673129156,0.5241090146750523,0.938979365755196,0.5211589674942164,0.011604912298773
Google,AUE,Online,0,27,True,27.00311063008849,26.912506598979235,0.046979865771812,0.0324074074074074,0.9835627985389154,0.0383561643835616,0.8536271126600155,0.0308819490437487,0.0199434372536579
Google,HT,Online,0,28,True,1.404877181048505,1.9802781760226933,0.0833333333333333,0.0719424460431654,0.9885145850353212,0.0772200772200772,0.5866821201964408,0.0716682189796505,0.0160301964342834
Google,ARF,Online,0,28,True,58.13626980397385,54.5992863860447,0.7241379310344828,0.1510791366906475,0.993944927675525,0.25,0.8079808431919195,0.3290382295808206,0.0069566552006062
Google,AUE,Online,0,28,True,16.51647396502085,24.80268625204917,0.087719298245614,0.1079136690647482,0.9865442837233888,0.096774193548387,0.7399682576145179,0.0905596125091759,0.0161984040853743
Google,HT,Online,0,-1,False,21.22301932412665,40.6567737320438,0.1290619251992642,0.0959434822242479,0.9796156679102468,0.1100653594771242,0.7137347085493858,0.1011074853247666,0.0229538853659024
Google,ARF,Online,0,-1,False,1351.968140051933,948.6549121520948,0.5661566156615662,0.2866909753874202,0.987741854351432,0.3806354009077157,0.9016110223346026,0.3974655845011279,0.0142980949177753
Google,AUE,Online,0,-1,False,334.1838790241163,458.9520222701831,0.2265422498703992,0.0995897903372835,0.9837027145175488,0.1383568149438024,0.8113327653509503,0.1428448858550755,0.0182051907138601
Google,HT,Online,1,15,False,0.4108356040669605,1.8055955070303755,0.2330097087378641,0.0747663551401869,0.9805674711871416,0.1132075471698113,0.5739000305829024,0.1239523050825744,0.0220800502957014
Google,ARF,Online,1,15,False,28.92985327600036,56.28099286498036,0.4393939393939394,0.0903426791277258,0.9829965372887488,0.1498708010335917,0.8515695348451896,0.1936569664385556,0.0191704050481882
